id,cpu,cpu_mark,price_usd,brand
149,AMD Ryzen 7 5800X,28143,260.0,AMD
150,Intel Xeon W-2195 @ 2.30GHz,28086,1983.82,Intel
152,AMD Ryzen Threadripper 1950X,27939,378.9,AMD
153,Intel Xeon W-2275 @ 3.30GHz,27918,1112.0,Intel
154,Intel Core i5-12600K,27674,277.99,Intel
155,Intel Xeon Gold 6238 @ 2.10GHz,27617,2698.99,Intel
156,AMD Ryzen 7 5800X3D,27607,419.99,AMD
157,Intel Xeon Gold 6212U @ 2.40GHz,27470,2000.0,Intel
159,Intel Xeon Gold 5318Y @ 2.10GHz,27422,1361.0,Intel
160,Intel Xeon Gold 6226R @ 2.90GHz,27406,1208.99,Intel
162,Intel Core i5-12600KF,27214,277.99,Intel
163,Intel Xeon Gold 6252 @ 2.10GHz,27148,3350.0,Intel
164,Intel Core i9-7960X @ 2.80GHz,27068,316.45,Intel
165,Intel Xeon Gold 6208U @ 2.90GHz,26901,1283.08,Intel
166,Intel Core i7-12700H,26836,457.0,Intel
169,Intel Xeon Gold 6230 @ 2.10GHz,26657,1900.0,Intel
170,AMD Ryzen 7 5700X,26602,225.58,AMD
171,Intel Core i9-10920X @ 3.50GHz,26544,659.99,Intel
172,Intel Xeon Platinum 8160 @ 2.10GHz,26485,2348.7,Intel
174,AMD EPYC 7272,26446,663.99,AMD
175,Intel Core i9-7940X @ 3.10GHz,26407,644.0,Intel
177,Intel Xeon Gold 6242 @ 2.80GHz,26288,2899.1,Intel
178,Intel Xeon W-3235 @ 3.30GHz,26076,1998.95,Intel
179,Intel Xeon W-2265 @ 3.50GHz,26005,1082.13,Intel
180,Intel Xeon W-3323 @ 3.50GHz,25875,949.0,Intel
182,Intel Xeon Gold 5220 @ 2.20GHz,25740,1667.99,Intel
185,Intel Core i9-11900K @ 3.50GHz,25548,289.99,Intel
186,AMD EPYC 7351P,25484,599.0,AMD
187,Intel Xeon E5-2696 v4 @ 2.20GHz,25443,2790.0,Intel
188,Intel Core i9-11900KF @ 3.50GHz,25421,339.99,Intel
190,Intel Core i9-9920X @ 3.50GHz,25333,649.0,Intel
191,Intel Xeon Gold 5218R @ 2.10GHz,25190,1200.8,Intel
192,AMD Ryzen Threadripper 2920X,25190,3192.0,AMD
193,Intel Xeon E5-2699 v4 @ 2.20GHz,25070,5957.96,Intel
195,Intel Xeon W-1370P @ 3.60GHz,24975,443.99,Intel
196,AMD EPYC 7501,24925,3616.0,AMD
198,Intel Xeon Gold 6138T @ 2.00GHz,24800,3188.73,Intel
199,Intel Core i7-12650H,24794,457.0,Intel
202,Intel Core i7-11700K @ 3.60GHz,24669,283.95,Intel
203,AMD Ryzen 7 5700G,24566,251.95,AMD
205,Intel Xeon Gold 6150 @ 2.70GHz,24489,2115.25,Intel
206,Intel Xeon Gold 6246 @ 3.30GHz,24446,3113.22,Intel
207,Intel Core i7-12800H,24255,457.0,Intel
208,Intel Xeon Gold 6248 @ 2.50GHz,24234,2300.25,Intel
210,Intel Core i7-11700KF @ 3.60GHz,24108,255.99,Intel
212,Intel Xeon W-1370 @ 2.90GHz,23908,369.99,Intel
214,Intel Xeon W-1390 @ 2.80GHz,23793,582.99,Intel
215,Intel Xeon E-2388G @ 3.20GHz,23785,539.0,Intel
216,AMD Ryzen 7 3800XT,23771,529.95,AMD
217,Intel Xeon E5-2696 v3 @ 2.30GHz,23749,2498.0,Intel
218,Intel Xeon W-11865MRE @ 2.60GHz,23702,480.0,Intel
221,Intel Xeon Silver 4310 @ 2.10GHz,23589,575.0,Intel
222,Intel Core i9-7920X @ 2.90GHz,23579,375.0,Intel
223,Intel Core i9-10900K @ 3.70GHz,23579,304.99,Intel
224,AMD EPYC 7351,23566,899.0,AMD
225,Intel Xeon E5-2679 v4 @ 2.50GHz,23512,2702.0,Intel
226,Intel Core i5-12600HX,23493,284.0,Intel
227,Intel Core i9-11980HK @ 2.60GHz,23452,583.0,Intel
229,Intel Xeon Gold 6146 @ 3.20GHz,23432,2821.0,Intel
230,Intel Core i9-10900KF @ 3.70GHz,23328,319.0,Intel
231,AMD Ryzen 7 3800X,23312,257.99,AMD
232,Intel Xeon W-11955M @ 2.60GHz,23238,623.0,Intel
233,Intel Core i7-12700T,23210,339.0,Intel
234,Intel Xeon Platinum 8176 @ 2.10GHz,23179,2793.7,Intel
235,Intel Xeon W-2175 @ 2.50GHz,23161,429.0,Intel
236,Intel Xeon Gold 6152 @ 2.10GHz,23124,2213.02,Intel
238,AMD Ryzen 7 PRO 3700,23045,329.99,AMD
239,AMD EPYC 7F32,23026,2465.51,AMD
240,Intel Core i9-11900 @ 2.50GHz,23002,348.95,Intel
242,Intel Core i9-11900F @ 2.50GHz,22973,400.99,Intel
243,Intel Core i9-10850K @ 3.60GHz,22905,349.98,Intel
244,Intel Xeon W-1290P @ 3.70GHz,22902,649.4,Intel
245,AMD Ryzen Threadripper 1920X,22803,325.0,AMD
246,Intel Xeon E-2378G @ 2.80GHz,22755,530.0,Intel
247,Intel Xeon Gold 6140 @ 2.30GHz,22733,999.0,Intel
248,AMD Ryzen 7 3700X,22711,263.0,AMD
249,Intel Core i9-11900KB @ 3.30GHz,22695,539.0,Intel
251,Intel Core i9-10900X @ 3.70GHz,22657,550.0,Intel
255,Intel Core i5-12600H,22459,311.0,Intel
256,Intel Core i9-11950H @ 2.60GHz,22367,556.0,Intel
257,Intel Xeon W-2255 @ 3.70GHz,22333,778.0,Intel
258,Intel Xeon Gold 6136 @ 3.00GHz,22266,2421.99,Intel
263,Intel Xeon Gold 6334 @ 3.60GHz,22160,2751.29,Intel
264,Intel Xeon Gold 5218 @ 2.30GHz,22117,1087.0,Intel
266,Intel Xeon W-1290E @ 3.50GHz,22066,500.0,Intel
268,AMD EPYC 7551,22005,588.0,AMD
269,Intel Xeon E5-2698 v4 @ 2.20GHz,21996,908.7,Intel
270,AMD EPYC 7281,21981,999.99,AMD
271,AMD Ryzen 5 5600X,21973,159.99,AMD
272,Intel Core i9-9900X @ 3.50GHz,21862,685.0,Intel
273,Intel Xeon Gold 6132 @ 2.60GHz,21808,2122.0,Intel
274,Intel Xeon Gold 6130T @ 2.10GHz,21804,4999.0,Intel
278,Intel Core i5-12500H,21623,311.0,Intel
279,Intel Core i5-12490F,21596,165.49,Intel
280,AMD Ryzen 5 5600,21500,162.9,AMD
283,Intel Core i9-7900X @ 3.30GHz,21270,265.99,Intel
284,Intel Xeon W-2155 @ 3.30GHz,21260,1530.39,Intel
285,Intel Core i7-11700F @ 2.50GHz,21212,313.48,Intel
286,Intel Core i5-12600,21182,229.98,Intel
287,Intel Core i7-11800H @ 2.30GHz,21154,395.0,Intel
288,Intel Xeon E5-2697 v4 @ 2.30GHz,21125,492.1,Intel
289,Intel Core i7-11850H @ 2.50GHz,21105,395.0,Intel
290,Intel Core i9-11900H @ 2.50GHz,21087,546.0,Intel
292,Intel Xeon Silver 4310T @ 2.30GHz,20973,783.99,Intel
296,Intel Xeon Gold 6250 @ 3.90GHz,20915,3876.44,Intel
299,AMD EPYC 7262,20827,573.58,AMD
300,Intel Xeon Gold 5315Y @ 3.20GHz,20724,1305.0,Intel
301,Intel Xeon Gold 6130 @ 2.10GHz,20721,1615.0,Intel
302,Intel Core i7-12700TE,20712,344.0,Intel
303,Intel Core i9-10900F @ 2.80GHz,20675,358.99,Intel
304,Intel Xeon Gold 6138 @ 2.00GHz,20666,1480.01,Intel
305,Intel Core i9-10900E @ 2.80GHz,20658,444.0,Intel
307,AMD Ryzen 7 PRO 4750G,20561,249.98,AMD
308,AMD EPYC 7451,20471,1399.0,AMD
311,Intel Xeon Gold 6244 @ 3.60GHz,20402,2970.0,Intel
312,Intel Xeon W-1290 @ 3.20GHz,20394,588.67,Intel
314,Intel Xeon E5-2699 v3 @ 2.30GHz,20317,547.23,Intel
315,Intel Core i5-12500,20290,202.0,Intel
316,Intel Core i9-10900 @ 2.80GHz,20290,399.99,Intel
317,Intel Xeon E-2386G @ 3.50GHz,20229,482.0,Intel
318,AMD Ryzen 7 4700G,20192,238.16,AMD
320,Intel Core i7-11700 @ 2.50GHz,20114,339.99,Intel
323,Intel Xeon Silver 4216 @ 2.10GHz,20069,955.0,Intel
324,Intel Xeon E5-2690 v4 @ 2.60GHz,20067,481.45,Intel
326,Intel Xeon W-1350P @ 4.00GHz,20032,347.99,Intel
327,Intel Xeon E5-2673 v4 @ 2.30GHz,19868,1950.0,Intel
328,AMD Ryzen 5 5600G,19831,150.39,AMD
329,Intel Xeon D-1747NTE @ 2.50GHz,19822,1201.0,Intel
330,Intel Xeon Gold 6226 @ 2.70GHz,19810,1641.9,Intel
331,Intel Core i5-12400F,19794,174.99,Intel
332,Intel Core i7-1280P,19745,482.0,Intel
333,Intel Core i5-11600K @ 3.90GHz,19735,179.99,Intel
334,Intel Core i5-11600KF @ 3.90GHz,19699,208.99,Intel
336,Intel Core i9-9900KS @ 4.00GHz,19557,831.62,Intel
337,AMD EPYC 7252,19550,419.99,AMD
338,Intel Core i5-12400,19513,192.0,Intel
339,Intel Xeon W-2245 @ 3.90GHz,19503,766.15,Intel
340,AMD Ryzen 5 5500,19478,120.06,AMD
341,Intel Core i9-9820X @ 3.30GHz,19371,602.83,Intel
344,Intel Xeon E-2356G @ 3.20GHz,19280,333.0,Intel
345,Intel Xeon W-1270P @ 3.80GHz,19245,465.99,Intel
346,Intel Xeon E5-2697 v3 @ 2.60GHz,19243,197.45,Intel
347,Intel Xeon Gold 6126 @ 2.60GHz,19223,592.68,Intel
349,Intel Core i7-10700K @ 3.80GHz,19194,259.99,Intel
350,Intel Xeon W-1350 @ 3.30GHz,19180,267.99,Intel
351,Intel Xeon E5-2695 v4 @ 2.10GHz,19155,592.1,Intel
353,Intel Core i7-10700KF @ 3.80GHz,19045,249.99,Intel
354,Intel Xeon Silver 4309Y @ 2.80GHz,19011,677.5,Intel
359,Intel Xeon Silver 4214R @ 2.40GHz,18846,719.75,Intel
364,AMD Ryzen 5 3600XT,18733,339.99,AMD
366,Intel Xeon Gold 6144 @ 3.50GHz,18656,1628.0,Intel
367,Intel Core i9-9900K @ 3.60GHz,18637,550.0,Intel
368,Intel Xeon W-1270E @ 3.40GHz,18635,367.0,Intel
370,Intel Core i9-9900KF @ 3.60GHz,18601,369.99,Intel
371,Intel Xeon E5-2698 v3 @ 2.30GHz,18489,729.95,Intel
373,Intel Xeon W-11855M @ 3.20GHz,18456,450.0,Intel
374,Intel Core i9-11900T @ 1.50GHz,18444,439.0,Intel
375,Intel Xeon W-1290T @ 1.90GHz,18409,494.0,Intel
376,Intel Core i5-12450H,18389,311.0,Intel
377,Intel Xeon D-2183IT @ 2.20GHz,18385,1764.0,Intel
378,AMD Ryzen 5 3600X,18299,245.0,AMD
380,Intel Core i5-11600 @ 2.80GHz,18249,260.84,Intel
381,Intel Xeon E7-8880 v3 @ 2.30GHz,18244,133.0,Intel
383,Intel Xeon W-2145 @ 3.70GHz,18185,1224.67,Intel
385,Intel Xeon Gold 5120T @ 2.20GHz,18127,1727.0,Intel
387,Intel Core i7-9800X @ 3.80GHz,18096,282.4,Intel
388,Intel Xeon D-2187NT @ 2.00GHz,18070,1989.0,Intel
390,Intel Core i9-10900TE @ 1.80GHz,17888,444.0,Intel
391,Intel Xeon W-1270 @ 3.40GHz,17839,362.0,Intel
392,Intel Xeon E5-2680 v4 @ 2.40GHz,17827,312.45,Intel
393,AMD Ryzen 5 3600,17817,129.98,AMD
395,Intel Xeon E-2378 @ 2.60GHz,17789,386.0,Intel
396,Intel Xeon Gold 5120 @ 2.20GHz,17686,1561.0,Intel
397,Intel Core i5-11500 @ 2.70GHz,17628,215.87,Intel
398,AMD Ryzen 7 2700X,17603,134.38,AMD
400,Intel Core i5-12500T,17534,202.0,Intel
401,Intel Xeon E5-2687W v4 @ 3.00GHz,17501,975.1,Intel
402,Intel Xeon W-3223 @ 3.50GHz,17476,820.55,Intel
403,Intel Xeon E5-4669 v3 @ 2.10GHz,17430,5400.0,Intel
404,Intel Xeon E-2288G @ 3.70GHz,17401,539.0,Intel
410,Intel Core i7-7820X @ 3.60GHz,17235,255.28,Intel
412,Intel Core i7-6950X @ 3.00GHz,17215,269.98,Intel
413,Intel Core i5-11400F @ 2.60GHz,17194,148.94,Intel
417,Intel Core i5-11400 @ 2.60GHz,17075,172.99,Intel
418,Intel Xeon E5-2683 v4 @ 2.10GHz,17074,400.0,Intel
420,Intel Core i7-10700F @ 2.90GHz,17025,245.86,Intel
421,AMD EPYC 7232P,17017,399.0,AMD
422,Intel Xeon E-2336 @ 2.90GHz,17014,359.99,Intel
424,AMD Ryzen Threadripper 1900X,16999,239.99,AMD
425,Intel Xeon W-11865MLE @ 1.50GHz,16965,467.0,Intel
427,Intel Xeon E-2278G @ 3.40GHz,16884,494.0,Intel
428,Intel Core i5-12500TE,16865,205.0,Intel
430,Intel Core i9-9900 @ 3.10GHz,16851,715.51,Intel
431,Intel Core i7-10700 @ 2.90GHz,16819,274.99,Intel
434,Intel Xeon Gold 6134 @ 3.20GHz,16518,1349.0,Intel
435,Intel Xeon E5-2690 v3 @ 2.60GHz,16501,218.45,Intel
437,Intel Xeon E5-2695 v3 @ 2.30GHz,16455,223.19,Intel
438,AMD Ryzen 7 1800X,16450,360.0,AMD
439,Intel Core i7-10700E @ 2.90GHz,16418,330.0,Intel
440,Intel Core i5-12400T,16405,169.99,Intel
443,Intel Core i7-10700TE @ 2.00GHz,16332,330.0,Intel
444,AMD Ryzen 5 PRO 4650G,16330,219.98,AMD
446,Intel Xeon Gold 5118 @ 2.30GHz,16237,499.0,Intel
448,Intel Xeon D-2733NT @ 2.10GHz,16208,800.0,Intel
449,Intel Core i5-11500H @ 2.90GHz,16133,250.0,Intel
451,Intel Core i3-1220P,16102,281.0,Intel
452,Intel Xeon E5-2660 v4 @ 2.00GHz,16085,169.0,Intel
453,Intel Core i9-10980HK @ 2.40GHz,16068,583.0,Intel
454,Intel Xeon W-10885M @ 2.40GHz,16029,623.0,Intel
455,Intel Core i5-11400H @ 2.70GHz,15997,250.0,Intel
457,Intel Core i7-11600H @ 2.90GHz,15907,395.0,Intel
459,AMD Ryzen 5 4500,15858,125.28,AMD
461,AMD Ryzen 7 2700,15786,124.99,AMD
462,Intel Xeon Silver 4214 @ 2.20GHz,15772,683.0,Intel
463,AMD Ryzen 7 1700X,15685,135.96,AMD
464,Intel Core i5-11260H @ 2.60GHz,15677,250.0,Intel
468,AMD Ryzen 5 4600G,15600,148.87,AMD
469,Intel Core i9-10885H @ 2.40GHz,15574,556.0,Intel
470,Intel Core i7-11700T @ 1.40GHz,15537,323.0,Intel
471,Intel Xeon E5-2680 v3 @ 2.50GHz,15525,79.0,Intel
473,Intel Xeon Gold 5217 @ 3.00GHz,15429,1645.0,Intel
474,Intel Xeon Gold 5215 @ 2.50GHz,15420,1399.0,Intel
475,Intel Xeon E5-4667 v3 @ 2.00GHz,15397,5729.0,Intel
477,Intel Core i5-11600T @ 1.70GHz,15352,213.0,Intel
478,Intel Core i7-10875H @ 2.30GHz,15340,450.0,Intel
480,Intel Xeon E-2278GE @ 3.30GHz,15252,494.0,Intel
481,Intel Xeon Silver 4214Y @ 2.20GHz,15248,768.0,Intel
482,Intel Xeon E-2286M @ 2.40GHz,15220,1373.18,Intel
483,Intel Core i9-10900T @ 1.90GHz,15209,349.99,Intel
485,Intel Xeon Silver 4116T @ 2.10GHz,15187,1112.0,Intel
487,Intel Xeon Silver 4210R @ 2.40GHz,15155,547.99,Intel
488,Intel Xeon D-2166NT @ 2.00GHz,15105,1005.0,Intel
489,Intel Xeon Silver 4215R @ 3.20GHz,15056,820.0,Intel
490,Intel Xeon E5-2683 v3 @ 2.00GHz,15050,449.95,Intel
491,Intel Core i3-12300,15023,143.0,Intel
492,AMD EPYC 7301,14991,1499.98,AMD
493,AMD EPYC 7251,14935,510.0,AMD
494,Intel Xeon Silver 4116 @ 2.10GHz,14931,389.98,Intel
495,Intel Xeon E5-2699A v4 @ 2.40GHz,14917,4938.0,Intel
497,Intel Xeon E5-2658A v3 @ 2.20GHz,14879,1832.0,Intel
498,Intel Core i7-10870H @ 2.20GHz,14854,417.0,Intel
499,Intel Xeon D-1733NT @ 2.00GHz,14849,720.0,Intel
500,AMD Ryzen 7 1700,14835,101.66,AMD
503,Intel Xeon E5-2687W v3 @ 3.10GHz,14784,79.99,Intel
508,Intel Xeon E5-2678 v3 @ 2.50GHz,14638,106.19,Intel
510,Intel Core i9-9980HK @ 2.40GHz,14555,583.0,Intel
511,Intel Core i7-9700K @ 3.60GHz,14554,315.99,Intel
513,Intel Core i5-10600KF @ 4.10GHz,14533,179.99,Intel
514,Intel Core i7-8086K @ 4.00GHz,14513,394.99,Intel
515,Intel Core i5-10600K @ 4.10GHz,14506,206.19,Intel
516,Intel Xeon W-1250P @ 4.10GHz,14476,321.5,Intel
518,Intel Xeon Silver 4215 @ 2.50GHz,14439,681.23,Intel
519,Intel Core i7-9700KF @ 3.60GHz,14435,224.95,Intel
523,Intel Core i3-12100F,14382,108.99,Intel
524,Intel Core i7-6900K @ 3.20GHz,14360,169.79,Intel
526,Intel Core i3-12100,14354,122.0,Intel
527,Intel Xeon E-2236 @ 3.40GHz,14316,419.95,Intel
528,Intel Xeon W-2235 @ 3.80GHz,14289,600.99,Intel
529,Intel Xeon Silver 4210 @ 2.20GHz,14285,503.67,Intel
530,Intel Xeon Gold 6128 @ 3.40GHz,14273,1031.0,Intel
531,Intel Xeon E5-4660 v3 @ 2.10GHz,14256,4800.0,Intel
532,Intel Xeon E5-2697 v2 @ 2.70GHz,14162,162.5,Intel
533,Intel Xeon E5-1680 v4 @ 3.40GHz,14146,1498.95,Intel
535,Intel Xeon E5-2673 v3 @ 2.40GHz,14141,700.0,Intel
536,Intel Xeon W-2135 @ 3.70GHz,14133,1007.7,Intel
537,Intel Xeon E-2374G @ 3.70GHz,14086,400.99,Intel
538,Intel Core i9-9900T @ 2.10GHz,14085,439.0,Intel
539,Intel Xeon E-2246G @ 3.60GHz,14050,311.0,Intel
540,AMD Ryzen 5 2600X,14027,107.69,AMD
541,Intel Xeon Gold 5115 @ 2.40GHz,14007,1276.98,Intel
542,Intel Core i9-9880H @ 2.30GHz,13967,556.0,Intel
543,AMD EPYC 3251,13965,315.0,AMD
545,Intel Xeon E5-2667 v4 @ 3.20GHz,13934,182.0,Intel
546,Intel Xeon E5-2670 v3 @ 2.30GHz,13909,117.0,Intel
547,Intel Xeon E-2186G @ 3.80GHz,13909,542.78,Intel
548,Intel Xeon W-1250E @ 3.50GHz,13888,260.0,Intel
549,Intel Xeon E5-2650 v4 @ 2.20GHz,13839,210.95,Intel
550,Intel Core i5-10600 @ 3.30GHz,13835,184.99,Intel
551,Intel Core i7-8700K @ 3.70GHz,13803,330.0,Intel
552,Intel Xeon W-1250 @ 3.30GHz,13776,332.39,Intel
554,Intel Xeon E-2286G @ 4.00GHz,13682,591.39,Intel
555,Intel Xeon E-2176G @ 3.70GHz,13646,369.99,Intel
557,Intel Core i5-1235U,13569,309.0,Intel
559,Intel Xeon W-1270TE @ 2.00GHz,13553,367.0,Intel
560,Intel Xeon E5-2690 v2 @ 3.00GHz,13536,153.15,Intel
561,Intel Core i7-1255U,13519,426.0,Intel
564,Intel Xeon E5-2695 v2 @ 2.40GHz,13453,178.0,Intel
566,Intel Core i7-9700F @ 3.00GHz,13429,298.55,Intel
567,Intel Xeon E5-1660 v4 @ 3.20GHz,13408,1494.0,Intel
568,Intel Core i7-9700 @ 3.00GHz,13375,269.99,Intel
569,Intel Xeon E-2276G @ 3.80GHz,13371,460.29,Intel
570,Intel Xeon E-2146G @ 3.50GHz,13356,343.99,Intel
571,Intel Core i5-11400T @ 1.30GHz,13330,182.0,Intel
572,Intel Xeon E5-2660 v3 @ 2.60GHz,13311,130.01,Intel
573,Intel Xeon E-2136 @ 3.30GHz,13274,315.99,Intel
574,AMD Ryzen 5 3500X,13266,148.95,AMD
576,AMD Ryzen 5 2600,13245,124.99,AMD
578,Intel Xeon E5-1680 v3 @ 3.20GHz,13214,589.99,Intel
579,Intel Core i5-11500T @ 1.50GHz,13190,192.0,Intel
