shipping_date,delivery_date,shipping_num,customer_id_invoice,shipping_weight
11/9/2024,11/14/2024,iD2rW8rcsw26Z,d - 382415,28.99817516
5/10/2024,5/14/2024,ot7VWUc0y6tYj,h - 345299,34.59673861
3/28/2024,3/30/2024,CKgCGHsTdNFKc,a - 336187,16.81271728
12/19/2024,12/21/2024,qpnBQfivShLHj,e - 394828,44.39067364
11/29/2024,12/1/2024,2ULitEZkyGRUC,j - 387080,40.44131791
3/5/2024,3/8/2024,9BCaOYd8LW2jL,m - 333585,54.54148723
6/6/2024,6/9/2024,56DddMauP0mFo,g - 350757,47.64449973
5/16/2024,5/19/2024,gcaQg7JG01ZSV,g - 345879,32.0382414
7/29/2024,7/31/2024,qaQvUOxR5xtdm,f - 360870,31.02608767
12/18/2024,12/22/2024,bVIjzC27skirp,j - 394951,24.20057815
12/9/2024,12/13/2024,E2G50aFFuAh6c,h - 391251,36.26694428
8/18/2024,8/22/2024,TUPIBz7aGhQyO,d - 365117,24.86989681
1/18/2024,1/21/2024,Mhz7qb7snaxOL,k - 327179,14.71501372
8/1/2024,8/5/2024,qW1XobSPzPIY7,k - 361604,27.47740626
12/7/2024,12/10/2024,xJwpQYKIk4JNO,d - 389791,36.73518776
12/18/2024,12/22/2024,bng6kyrmeACc9,k - 394663,29.3346842
12/26/2024,12/30/2024,Tx0gYp22Xtax2,h - 398862,47.24296614
11/2/2024,11/6/2024,wD8ueGbsH7Cuo,l - 379921,17.53624435
3/22/2024,3/24/2024,SsIUhhrSpVszg,c - 335535,30.04916116
7/29/2024,8/1/2024,79az06NrqtfrO,h - 360963,12.7726827
6/8/2024,6/11/2024,oY3avvHvXD0LH,i - 350865,15.24674074
6/28/2024,7/1/2024,Blt0cjxvkm6AX,a - 355030,24.32589031
10/7/2024,10/10/2024,RG56MRXqioVl3,l - 374899,21.38678016
6/19/2024,6/23/2024,wlRddXHIb8si4,g - 353101,22.89244397
1/16/2024,1/21/2024,qmC1Ez4YuKdrA,g - 326788,33.3616704
8/8/2024,8/11/2024,miYwMGgFpgbnG,m - 363102,25.1383625
1/30/2024,2/4/2024,2OkxjwaVjyR1W,d - 328951,18.97327397
4/22/2024,4/24/2024,LVgzM4DKMY7Ds,f - 341317,22.80947959
11/28/2024,11/30/2024,1KQ1p9dFJzjr3,c - 386831,40.53632051
3/25/2024,3/28/2024,rpAusSEFJzFHZ,g - 336257,31.74048225
8/13/2024,8/17/2024,L8yAQKydd4dNJ,h - 364493,40.52104371
7/31/2024,8/4/2024,5OBqI298n8XpX,k - 361606,33.24990176
7/3/2024,7/7/2024,OParZ7obxdFVY,f - 355546,28.11277153
11/22/2024,11/25/2024,Nad2Xcrq6Mo3w,b - 386309,17.13008283
6/6/2024,6/9/2024,r4JUFMv0ShzoJ,l - 350082,73.33022791
10/7/2024,10/11/2024,zHZOE0mrVgiWI,h - 375285,23.97018457
5/8/2024,5/13/2024,ZnTswB70QtzFN,l - 344638,45.03900544
4/5/2024,4/9/2024,l2y4VW332OCNg,f - 338258,16.11113728
3/16/2024,3/19/2024,5ujUseNRzaU2P,c - 335121,29.5047266
11/2/2024,11/7/2024,Oapomw0oeuj1L,m - 380935,15.58393026
4/21/2024,4/24/2024,i2mGtlChRw8QD,c - 341099,29.13808009
3/7/2024,3/10/2024,cxks9k5nKiFru,h - 333346,33.20346371
12/19/2024,12/24/2024,jWhxnG57ki48L,h - 394852,35.71673539
12/21/2024,12/24/2024,b0APLn4aJbghY,m - 396766,41.13156396
8/22/2024,8/27/2024,Ycucdr47t9gBp,i - 365734,23.23424594
6/25/2024,6/29/2024,fB0JPSE0z3AL1,e - 354380,27.45516313
1/8/2024,1/10/2024,tgouIGZqtvD3e,c - 325778,17.3092473
4/4/2024,4/8/2024,tXdVGOa6i5fSJ,j - 337841,35.90300002
9/26/2024,9/29/2024,w5mWs1KOJXwwl,f - 373187,39.22475606
6/1/2024,6/4/2024,mmW1HZInSu39h,a - 349430,38.62689139
8/15/2024,8/20/2024,yt03RvxfGsw8F,e - 364217,49.40149568
9/22/2024,9/26/2024,NqXU4hLzzoBvt,d - 372199,30.57650796
11/21/2024,11/25/2024,hwVMNW895u6JX,k - 385201,14.20671079
10/3/2024,10/5/2024,yroZJMpuzaABZ,e - 374160,36.22889727
7/7/2024,7/12/2024,2oIo2mt5Z18Gx,l - 356629,26.66747462
7/7/2024,7/12/2024,0ZYBduF9Dm4La,e - 356497,18.26752774
8/16/2024,8/20/2024,CDy5hIlou0N6A,f - 364367,47.42836292
6/20/2024,6/24/2024,0xJFda1a10L5P,k - 353451,15.2230798
3/3/2024,3/7/2024,Khlc1sJkefLCJ,b - 333219,19.01109694
7/27/2024,8/1/2024,um1FXzcblmRqZ,i - 360887,27.97898239
11/29/2024,12/3/2024,X44N76zD8Tu5T,i - 388409,29.09474999
7/14/2024,7/16/2024,53rC0I3qg9fIE,k - 358277,29.87873916
6/7/2024,6/11/2024,TSaVpeuS8DYw9,e - 350733,30.58003001
7/10/2024,7/13/2024,hUmCOrzCqiWvs,a - 357473,39.70104958
7/22/2024,7/25/2024,IR6AScLxqgBqN,e - 359902,35.8123041
5/27/2024,5/30/2024,siqvPNiLZGuFe,k - 348586,20.97268365
4/19/2024,4/23/2024,63zktmdLgNkii,f - 340660,61.11577029
8/10/2024,8/14/2024,ZE0BbAZxfUBWl,k - 363293,33.17457245
3/17/2024,3/19/2024,09KwttwedDljG,h - 335012,34.01694235
12/26/2024,12/31/2024,9NHiaw0KxYyE2,l - 398076,32.76481213
7/28/2024,8/1/2024,4ei7NPGxl4DTf,d - 361031,27.53581399
12/30/2024,1/2/2025,jjDQaWXEnhlyN,e - 399676,26.01353444
12/27/2024,1/1/2025,Cx747iltY7eZH,a - 398521,27.15100248
1/18/2024,1/21/2024,bTyZ0XXCuZBFS,d - 327514,46.1821862
3/11/2024,3/13/2024,Z6CoTQK4f90W9,f - 334334,50.55616939
3/13/2024,3/16/2024,4iNTI6l9VTrcW,d - 334564,42.74168633
8/24/2024,8/28/2024,Pw2TdVn93FXKW,j - 366206,12.55086249
8/8/2024,8/10/2024,0OOCSuual0Fmj,h - 362719,23.90841763
9/24/2024,9/28/2024,lyKfh120JSdeN,e - 372756,26.27573993
5/11/2024,5/16/2024,UDTAczPuYfds5,k - 344728,24.99437802
9/5/2024,9/9/2024,fa6CVXO1A5ZPq,e - 368682,34.4298626
8/14/2024,8/18/2024,dldzYOTzUBACR,c - 364323,33.12634842
4/19/2024,4/23/2024,RAx106gmTxZaz,k - 340543,26.74608079
3/5/2024,3/8/2024,VsKJLElxaF6CS,h - 333470,20.73917276
5/31/2024,6/2/2024,KKOoAr5kwR6As,k - 349463,24.27776866
6/22/2024,6/26/2024,vvpnGvTtsCQGZ,j - 353963,22.72093828
12/26/2024,12/31/2024,JpacehrVE0pGL,k - 398388,42.68507053
12/14/2024,12/18/2024,prFJCcHreZUgM,d - 392647,43.87271008
8/14/2024,8/18/2024,z44ZOfn8tRLM1,f - 364291,22.44398621
5/9/2024,5/11/2024,rpouVwlP5bqRd,d - 344402,38.62148144
9/28/2024,10/3/2024,y5iTEtMlqrOUY,h - 373180,21.60663253
2/15/2024,2/17/2024,bzfb4sgMhHyW4,k - 331045,13.64242831
9/27/2024,10/2/2024,JRAzOr0HvTpoq,g - 373548,19.53899557
7/1/2024,7/4/2024,6JmRwKk5fMwat,f - 355767,33.28131978
6/14/2024,6/18/2024,OZ2wEv6eghByi,e - 351723,22.14798245
10/18/2024,10/23/2024,374n5toAQE83l,l - 376898,34.41180892
7/27/2024,7/30/2024,id6oL5tSQ9nJN,l - 360472,50.46376012
7/17/2024,7/21/2024,QghVriYNSEFog,f - 359146,41.82793469
5/13/2024,5/16/2024,0iuDilCfd9UDx,b - 345647,29.23270592
9/21/2024,9/25/2024,sIBVaekk7G7G3,a - 372341,36.33733094
8/30/2024,9/1/2024,cs1EQcSBN9RHR,h - 367972,32.09120137
1/28/2024,2/1/2024,KxG4HLTqysuPO,k - 328544,16.73477598
9/30/2024,10/3/2024,yalBaB7UQXrLU,b - 373983,37.44862994
9/30/2024,10/4/2024,15OVpQncZFdNd,c - 373958,18.42154044
12/5/2024,12/10/2024,uG6SKG1jQKou3,a - 390258,25.09435041
6/26/2024,7/1/2024,Ur6SaSMigH612,h - 354375,29.96860311
11/20/2024,11/23/2024,uvupEAD0O5u9o,k - 385703,29.96115082
7/3/2024,7/7/2024,rQWQ0jWX4qIMd,i - 355662,49.13976697
11/25/2024,11/30/2024,Qnu9B6FmIxGCD,h - 386604,26.1626436
12/14/2024,12/16/2024,BhCYI0tKfVcqM,c - 393036,21.55945338
12/12/2024,12/15/2024,5FuVlVbXax7Cd,g - 391400,25.85885796
12/23/2024,12/27/2024,oXEq96xqsWte8,m - 397290,28.37716221
11/18/2024,11/21/2024,3ReKGwssqxtvm,f - 384870,54.54834878
4/6/2024,4/9/2024,0TQSFRe04DPSb,a - 337739,25.83736009
12/26/2024,12/29/2024,l4oAkwWNm6YNc,b - 398803,30.31179179
12/4/2024,12/8/2024,yILnOG0c39TAL,e - 389514,37.93779565
10/25/2024,10/28/2024,f4FkT8qBdJqZc,c - 378774,20.21344611
12/8/2024,12/13/2024,joBoUjm1t7Xip,d - 390732,56.00670937
8/19/2024,8/22/2024,xCRrvRFYlwHi5,i - 365300,22.47501008
4/21/2024,4/26/2024,oLtlQRwZMU4QT,c - 341195,31.64553653
6/22/2024,6/26/2024,gs3rkrzdzt4Ey,m - 353469,28.68003011
8/5/2024,8/10/2024,uAVKHiQmFg0T1,l - 362613,37.98915716
11/21/2024,11/26/2024,4MgtOdpRzl6ii,f - 385271,29.11558859
6/19/2024,6/24/2024,0fgj7hKM2Je84,b - 353194,25.39174386
11/4/2024,11/9/2024,Si6kM8VDIadZo,b - 380681,21.53126378
4/4/2024,4/8/2024,tsQkymViln9je,c - 337927,22.87880129
6/19/2024,6/23/2024,0qAj2woGk0dbj,c - 353155,45.18186574
3/14/2024,3/18/2024,hTYMKrveJSzr5,a - 334728,21.6944901
10/12/2024,10/16/2024,V2yhHOJjjKMGv,m - 375915,24.86504449
12/9/2024,12/13/2024,nhpU4risqKkjo,i - 391696,44.25885734
12/29/2024,1/1/2025,1GIrq8RcsnCsD,m - 398790,31.2586137
12/15/2024,12/18/2024,q0odiz4Sn0kUz,k - 393861,22.52615634
3/28/2024,3/31/2024,jG6BYNgnVHdqh,e - 336821,47.05055349
11/13/2024,11/17/2024,GEdBYgO5SXsWf,i - 382897,25.69554454
8/31/2024,9/3/2024,DCNZAdgolXrqj,k - 367549,30.00393598
11/20/2024,11/24/2024,rYBIFSJ2hV6p2,k - 385326,6.542281532
10/17/2024,10/19/2024,logYoFci5O6xc,d - 377162,25.20807294
12/5/2024,12/8/2024,ua33vlW26ZqQC,i - 390275,37.04180773
7/6/2024,7/11/2024,VF6M4lHf1oWAG,j - 356378,28.76874143
7/3/2024,7/6/2024,eQpsx7WHFvJGd,i - 356267,40.7328561
2/28/2024,3/4/2024,k4B8YV44wyCMR,a - 332436,37.07506578
11/5/2024,11/8/2024,9iQRaiUq3xbVN,m - 381591,33.31240978
4/9/2024,4/12/2024,ga7UP2mrrK5qR,f - 338769,28.44159728
2/1/2024,2/3/2024,IZ6MSUwB8HB7Z,j - 329492,32.14772705
12/5/2024,12/10/2024,xEeALpZjTOUAz,h - 390488,36.03229233
6/7/2024,6/12/2024,AUNuzCqTp4Snd,l - 350271,32.11897194
9/18/2024,9/20/2024,wjZrkDfLEFSor,k - 371142,20.37225194
4/4/2024,4/8/2024,dvOUOTVLcl7Wq,b - 337301,34.2648723
8/1/2024,8/6/2024,6RLQzJ0FdDZGy,i - 362136,24.31185261
6/24/2024,6/26/2024,ltvDRqACzBViT,m - 354331,41.98520419
8/23/2024,8/28/2024,HFd9VVrlkdmXx,e - 366296,26.20188308
9/19/2024,9/22/2024,cASi0LATR3h6z,e - 370988,23.62447752
10/21/2024,10/26/2024,ZALNVHdFrqMaM,h - 378104,36.01920421
5/11/2024,5/16/2024,Pyfi6Wuyr7Ry4,d - 345386,28.1917364
6/1/2024,6/4/2024,p8rJLzt4dNQqz,b - 349306,38.95105086
7/5/2024,7/9/2024,8izw7v6p2iVMW,k - 356348,29.97018883
8/11/2024,8/15/2024,vPzaEIddM3zu9,h - 363425,24.84703688
7/19/2024,7/22/2024,E22nLhz3efE2b,g - 359642,37.0976752
6/28/2024,7/1/2024,rku9XvEhLWCa6,e - 354761,47.82244732
8/6/2024,8/9/2024,JunM3sX0ya3ej,f - 362574,35.17339752
12/21/2024,12/25/2024,dxwrcTToOTpYD,i - 396734,23.20701371
10/11/2024,10/15/2024,uu5S4XMICMzt8,e - 375870,20.48397771
6/4/2024,6/9/2024,dJz1jtzKhjDFp,m - 350051,19.11095244
4/13/2024,4/18/2024,4O1X6LvTHEPAc,e - 339152,34.71070939
12/27/2024,12/30/2024,fp8ia44z5Z572,a - 398817,11.76806827
9/23/2024,9/25/2024,LcYe7PH4p4kkX,m - 372136,30.32550187
5/18/2024,5/21/2024,v8LPD43gFsGXj,i - 346742,27.58435615
12/20/2024,12/25/2024,wKKawDmwSqRvy,b - 395154,29.51600997
9/13/2024,9/16/2024,5hxzyHKWfVlLl,d - 370780,35.90159265
6/1/2024,6/5/2024,lEahLzjTcHuF6,a - 349580,45.03462936
11/21/2024,11/24/2024,xdDfZvMpqmzOH,m - 385724,27.45448888
12/19/2024,12/23/2024,2a2yBHzSZqaMw,h - 395513,26.43842066
1/21/2024,1/23/2024,54iNeCKTDWUhH,i - 327802,40.73318874
5/18/2024,5/23/2024,gmMbChjqSHhGQ,j - 346737,28.30399346
12/12/2024,12/14/2024,bkFl60VrtJEJX,d - 391644,29.74264355
11/28/2024,12/2/2024,xe9hgoe2WR4GD,e - 387896,39.36906659
3/23/2024,3/25/2024,SB2bhrU9CCaiH,e - 335574,26.64024151
10/27/2024,10/30/2024,L7KJ0Z5rANPWP,h - 379232,23.39565702
6/22/2024,6/24/2024,BLUxxnGYFtnnm,h - 353550,20.29018501
2/22/2024,2/26/2024,ifaIwHJWYDAGJ,a - 332255,12.63404523
4/20/2024,4/24/2024,qEv3VQaJmyFzx,f - 340974,44.75408094
3/14/2024,3/16/2024,iMREoZZ2yOw3O,a - 334550,13.93966732
1/4/2024,1/7/2024,9fk6EohDyC8yU,h - 325222,32.91048073
12/12/2024,12/16/2024,9WWeaNrW957m8,i - 392054,12.62853985
1/24/2024,1/27/2024,J6eusysrSmmpr,b - 327715,23.24114462
5/2/2024,5/4/2024,hpfZU1J9gzLeD,d - 343603,42.78481912
9/20/2024,9/23/2024,ntEbKVHMJgaIZ,g - 372159,61.721775
6/9/2024,6/12/2024,Gkx0wPpFkJFRs,l - 350670,28.65766434
8/14/2024,8/17/2024,xk9HNWyiLLVpt,d - 364653,36.32789539
1/30/2024,2/3/2024,MOHZXBeNMFGwx,l - 328647,10.05921797
12/28/2024,1/1/2025,PM6zebhbOy7rX,c - 399260,62.87938841
11/24/2024,11/28/2024,1xGmC5GUEfcgu,c - 386012,39.09824274
2/21/2024,2/24/2024,GcAWH81w1gHwP,a - 331523,19.22105282
3/24/2024,3/28/2024,bwucBmQxiqtXy,e - 335821,28.83593985
7/18/2024,7/21/2024,ninh4tDXBRp8b,l - 358429,33.75021962
9/11/2024,9/14/2024,QZnKsrxDBXrkT,k - 370228,21.32542518
2/8/2024,2/13/2024,hZSQh1XZDicVS,l - 330401,21.05982592
12/4/2024,12/6/2024,zOkW0VX9ejuMg,b - 388521,49.35766609
7/22/2024,7/27/2024,S706e2iHfiRsz,j - 359543,42.35125533
8/10/2024,8/13/2024,wJQv6dpfvakAW,c - 363573,1.802074193
10/2/2024,10/7/2024,9Oou6Ar6vP9Aj,l - 374349,27.12386181
1/1/2025,1/6/2025,goHgZcyo10EZn,g - 400160,20.17887553
12/21/2024,12/25/2024,VdHyyufatCiXY,m - 396302,23.15620629
5/16/2024,5/19/2024,WwxpZuNCVKwec,b - 345636,29.93840298
6/26/2024,6/30/2024,HJ4UxWzrLtEWa,h - 354399,36.94236614
5/3/2024,5/6/2024,OuCcDhJHirgXU,e - 343727,14.98863199
5/19/2024,5/23/2024,tLP0zP7lgZWHo,c - 346869,25.72092095
12/9/2024,12/11/2024,lUW09LpOmOM6W,f - 391526,15.1947534
6/14/2024,6/18/2024,MFh9oTJZ9eSIy,j - 351719,26.42070977
6/9/2024,6/14/2024,VjKuQne4rKVXX,b - 351136,34.13455798
10/31/2024,11/4/2024,UdAwhXK7OZ8RZ,l - 380063,47.23476968
12/5/2024,12/9/2024,jcfVaTZ6JDjAh,a - 389773,22.45926818
7/28/2024,7/31/2024,PfT7nLtOhTBOF,h - 360830,32.64407011
11/23/2024,11/25/2024,BnOo99xoj463E,c - 385710,31.18820155
4/5/2024,4/8/2024,mDnzJ6q1PtLkx,m - 337880,27.02387627
3/16/2024,3/19/2024,daczzB3STKnoM,l - 335154,30.87537157
8/14/2024,8/17/2024,Ulbt5nZT0Mhle,m - 364748,32.46844177
9/9/2024,9/12/2024,af9ryMK91sNaz,l - 369748,36.93589944
10/25/2024,10/30/2024,VANEyCOpqMgzL,d - 378269,24.59471646
9/19/2024,9/22/2024,vk2dCwYI2AYiW,b - 371762,33.63930159
11/15/2024,11/19/2024,smFULZ9vRrjAD,j - 384276,36.31034681
10/21/2024,10/26/2024,oY82FnVDfQx7s,c - 377842,36.51025557
12/10/2024,12/14/2024,Hlyqbf0Khr0ki,m - 391662,30.24537051
7/13/2024,7/16/2024,aBK8zUnt5SXdm,m - 357632,21.04470639
2/8/2024,2/11/2024,tXyquCY4CgijY,f - 330273,14.17881664
10/10/2024,10/13/2024,CIORcVNTkk8yO,i - 375754,34.94999782
3/28/2024,3/31/2024,nw9P1vJbAWJC5,c - 336793,18.02527454
4/17/2024,4/19/2024,tkkW5MyXjO49r,h - 340304,28.40652343
9/12/2024,9/16/2024,3rCjjhogaJ2GM,g - 369887,39.54989265
9/7/2024,9/10/2024,bTUv8C897UW3i,a - 368765,39.32139554
9/8/2024,9/11/2024,SOsTwaUDwtOw9,c - 369357,16.22877564
5/22/2024,5/26/2024,T2QPHNZbEHiEl,d - 347188,45.41251721
1/25/2024,1/29/2024,8uhwSyZaVlX8h,h - 328177,22.71395748
4/19/2024,4/23/2024,NITzmSnLHK6SO,f - 340232,46.14523261
6/13/2024,6/15/2024,emTmNH2BLNzzV,m - 351260,21.27045899
6/29/2024,7/3/2024,T3lF5060JGL1H,h - 354826,35.94567262
12/9/2024,12/13/2024,pPO4fRdIFpr5S,l - 391506,7.842187984
11/13/2024,11/16/2024,dCzb9zl3bbBY3,e - 383734,29.83019675
3/1/2024,3/6/2024,7BTtsNxQPL8CW,a - 333196,21.38603342
11/21/2024,11/25/2024,7SYTIYCLmvH41,l - 385957,40.2992578
5/9/2024,5/12/2024,rpzpHB4ZgluFR,d - 344682,43.9891895
8/22/2024,8/27/2024,NBT3dDl8I5pSS,g - 365841,37.98786379
8/14/2024,8/17/2024,RC0Rcf2HrKo49,g - 364654,23.65592582
5/13/2024,5/16/2024,xTwVF1NbebrBc,a - 345813,18.74340209
9/2/2024,9/6/2024,cCu7zKdGSYQY8,e - 368468,47.01940503
7/5/2024,7/8/2024,bx80EP3jCfPdv,f - 356118,39.34239741
11/28/2024,12/2/2024,JDAfgADo9EBNl,l - 387893,29.24160025
11/22/2024,11/25/2024,PFJoJzGUzYX4P,h - 385424,21.67388279
4/2/2024,4/5/2024,cJZ35LUiqCjWq,c - 337203,20.65550095
5/29/2024,6/3/2024,S00RhMeBv89Aw,h - 349065,33.79727801
8/9/2024,8/11/2024,kmfhOI1gyU6ac,b - 363262,22.60108197
12/5/2024,12/9/2024,irsxfNXEBNZVU,h - 389417,31.20029695
5/25/2024,5/27/2024,mwtyCfARSVeHF,m - 347985,39.10943333
3/8/2024,3/11/2024,RHW9Wl5L6FhEl,j - 333989,33.63968427
1/28/2024,2/2/2024,Nhz5HFQvsIJeK,m - 328694,15.40156345
12/20/2024,12/23/2024,icky7kVcIrvpx,l - 396254,30.95108325
12/6/2024,12/8/2024,eOIFSgtGlcMiP,b - 390579,35.7592725
12/21/2024,12/24/2024,Du20WUO40DIOn,g - 395862,12.46944578
8/31/2024,9/5/2024,UbGEHpE479lGW,g - 367872,33.85580252
12/20/2024,12/25/2024,Twqz9gZjfjaXp,i - 395342,21.94322975
8/17/2024,8/20/2024,mU5ujYJzc1w0X,j - 364586,32.71196494
12/12/2024,12/16/2024,EwKmaAlN3tnta,b - 392736,20.56231135
10/5/2024,10/9/2024,xv8QHv1LP5EMt,e - 374516,37.10858861
2/24/2024,3/1/2024,nuZK5IerSTLeU,m - 332310,27.94349001
12/16/2024,12/20/2024,uU7zJjzzwAg5t,h - 393779,17.14981794
1/7/2024,1/11/2024,WMX5eXY2DZQtG,e - 325649,26.15360833
10/2/2024,10/7/2024,H9YeomyZGoTTd,h - 374351,22.54353349
7/1/2024,7/5/2024,t3pdMq7FFJoO5,b - 355433,24.12650774
10/29/2024,11/3/2024,y8fb5HcVsjme5,a - 379568,40.19172072
7/4/2024,7/8/2024,Y8J1h3OOhQU06,e - 356501,27.09265999
12/16/2024,12/21/2024,zpg2U1WmFNrPu,h - 393694,33.12418466
8/30/2024,9/2/2024,jDbdcxi1W5BJF,a - 368113,43.62788285
12/26/2024,12/30/2024,HYYqCHn2QMt61,h - 397435,15.50436884
8/12/2024,8/17/2024,ui1i7OkEvvy26,m - 363982,41.29849598
2/23/2024,2/27/2024,jJlAtOjFwsXS0,f - 332038,50.57856932
11/23/2024,11/26/2024,CyqL4DDRT9BWK,h - 385756,21.54404787
