invoice_date,customer_id,invoice_num,invoice_amount,terms,customer_order,item,amount
12/31/2024,f,400243,145,Shipping Point,3JSC5UE6MVTV,cowbells,7
12/31/2024,f,400243,145,Shipping Point,3JSC5UE6MVTV,bathbombs,15
12/31/2024,e,400242,165,Shipping Point,RADOE6V7WSMA,cowbells,6
12/31/2024,e,400242,165,Shipping Point,RADOE6V7WSMA,bathbombs,21
12/31/2024,j,400241,145,Destination,19ZG6GEK38Z0,cowbells,10
12/31/2024,j,400241,145,Destination,19ZG6GEK38Z0,bathbombs,9
12/31/2024,l,400240,205,Shipping Point,XEP09EEOOEAO,cowbells,13
12/31/2024,l,400240,205,Shipping Point,XEP09EEOOEAO,bathbombs,15
12/31/2024,l,400239,175,Destination,53J7BRY7SCJQ,cowbells,11
12/31/2024,l,400239,175,Destination,53J7BRY7SCJQ,bathbombs,13
12/31/2024,g,400238,265,Shipping Point,VSA0LEF7PCEV,cowbells,21
12/31/2024,g,400238,265,Shipping Point,VSA0LEF7PCEV,bathbombs,11
12/31/2024,f,400237,265,Shipping Point,F2AAUNHGJPHK,cowbells,19
12/31/2024,f,400237,265,Shipping Point,F2AAUNHGJPHK,bathbombs,15
12/31/2024,a,400236,175,Shipping Point,B6P4TVKCYQJN,cowbells,15
12/31/2024,a,400236,175,Shipping Point,B6P4TVKCYQJN,bathbombs,5
12/31/2024,d,400235,270,Destination,Z08L1RG33UK5,cowbells,19
12/31/2024,d,400235,270,Destination,Z08L1RG33UK5,bathbombs,16
12/31/2024,k,400234,135,Destination,DPAUDZYJ21ZI,cowbells,8
12/31/2024,k,400234,135,Destination,DPAUDZYJ21ZI,bathbombs,11
12/31/2024,h,400233,255,Destination,AHF9777N23O2,cowbells,13
12/31/2024,h,400233,255,Destination,AHF9777N23O2,bathbombs,25
12/31/2024,f,400232,195,Destination,JNQ0BP1W77BB,cowbells,14
12/31/2024,f,400232,195,Destination,JNQ0BP1W77BB,bathbombs,11
12/31/2024,i,400231,205,Shipping Point,9DMFJGJ2NVXA,cowbells,12
12/31/2024,i,400231,205,Shipping Point,9DMFJGJ2NVXA,bathbombs,17
12/31/2024,h,400230,210,Destination,GTEDOXV5H3NJ,cowbells,10
12/31/2024,h,400230,210,Destination,GTEDOXV5H3NJ,bathbombs,22
12/31/2024,e,400229,170,Shipping Point,YG7R3AFJ13UV,cowbells,8
12/31/2024,e,400229,170,Shipping Point,YG7R3AFJ13UV,bathbombs,18
12/31/2024,i,400228,215,Shipping Point,RUVCNMISMZQO,cowbells,11
12/31/2024,i,400228,215,Shipping Point,RUVCNMISMZQO,bathbombs,21
12/31/2024,b,400227,220,Destination,5ADCP6F8I02E,cowbells,10
12/31/2024,b,400227,220,Destination,5ADCP6F8I02E,bathbombs,24
12/31/2024,c,400226,255,Shipping Point,3XM80YRNLQAM,cowbells,17
12/31/2024,c,400226,255,Shipping Point,3XM80YRNLQAM,bathbombs,17
12/31/2024,d,400225,250,Shipping Point,FQHAFJOMU45W,cowbells,11
12/31/2024,d,400225,250,Shipping Point,FQHAFJOMU45W,bathbombs,28
12/31/2024,g,400224,170,Shipping Point,YTR4A8CUD06Z,cowbells,9
12/31/2024,g,400224,170,Shipping Point,YTR4A8CUD06Z,bathbombs,16
12/31/2024,f,400223,200,Shipping Point,3CW2E6NT5IX1,cowbells,12
12/31/2024,f,400223,200,Shipping Point,3CW2E6NT5IX1,bathbombs,16
12/31/2024,k,400222,275,Shipping Point,GGF9LJ2RIWNF,cowbells,14
12/31/2024,k,400222,275,Shipping Point,GGF9LJ2RIWNF,bathbombs,27
12/31/2024,l,400221,210,Destination,GZW3OV2G0UDF,cowbells,13
12/31/2024,l,400221,210,Destination,GZW3OV2G0UDF,bathbombs,16
12/31/2024,d,400220,145,Shipping Point,WCDB67RL1KPP,cowbells,5
12/31/2024,d,400220,145,Shipping Point,WCDB67RL1KPP,bathbombs,19
12/31/2024,g,400219,185,Destination,3ZVUZY9MNAHJ,cowbells,8
12/31/2024,g,400219,185,Destination,3ZVUZY9MNAHJ,bathbombs,21
12/31/2024,h,400218,325,Destination,JS8YRDZGJP5N,cowbells,17
12/31/2024,h,400218,325,Destination,JS8YRDZGJP5N,bathbombs,31
12/31/2024,j,400217,120,Destination,S2GHCFQ0QCQ9,cowbells,6
12/31/2024,j,400217,120,Destination,S2GHCFQ0QCQ9,bathbombs,12
12/31/2024,b,400216,210,Destination,7HYAGD9JGPKE,cowbells,13
12/31/2024,b,400216,210,Destination,7HYAGD9JGPKE,bathbombs,16
12/31/2024,f,400215,145,Shipping Point,P2RL5D8DNFWA,cowbells,7
12/31/2024,f,400215,145,Shipping Point,P2RL5D8DNFWA,bathbombs,15
12/31/2024,e,400214,235,Destination,8RVZP1ENT2MH,cowbells,15
12/31/2024,e,400214,235,Destination,8RVZP1ENT2MH,bathbombs,17
12/31/2024,j,400213,295,Shipping Point,49JWGBKJOC23,cowbells,17
12/31/2024,j,400213,295,Shipping Point,49JWGBKJOC23,bathbombs,25
12/31/2024,m,400212,195,Shipping Point,RNZ0EVWQU2KJ,cowbells,8
12/31/2024,m,400212,195,Shipping Point,RNZ0EVWQU2KJ,bathbombs,23
12/31/2024,l,400211,180,Destination,LODTSQK7PQ1M,cowbells,12
12/31/2024,l,400211,180,Destination,LODTSQK7PQ1M,bathbombs,12
12/31/2024,m,400210,145,Shipping Point,RAP1M3T89EGX,cowbells,6
12/31/2024,m,400210,145,Shipping Point,RAP1M3T89EGX,bathbombs,17
12/31/2024,c,400209,180,Destination,9XD6KKAU2JJJ,cowbells,8
12/31/2024,c,400209,180,Destination,9XD6KKAU2JJJ,bathbombs,20
12/31/2024,i,400208,120,Shipping Point,LCJTB6OV4M1X,cowbells,7
12/31/2024,i,400208,120,Shipping Point,LCJTB6OV4M1X,bathbombs,10
12/31/2024,h,400207,140,Shipping Point,CCGUAY92ZXCL,cowbells,4
12/31/2024,h,400207,140,Shipping Point,CCGUAY92ZXCL,bathbombs,20
12/31/2024,k,400206,175,Destination,AIJT2UA9YAH4,cowbells,7
12/31/2024,k,400206,175,Destination,AIJT2UA9YAH4,bathbombs,21
12/31/2024,j,400205,175,Shipping Point,L9F9U3B2YHWT,cowbells,11
12/31/2024,j,400205,175,Shipping Point,L9F9U3B2YHWT,bathbombs,13
12/31/2024,i,400204,235,Destination,QP82VFAOZ0II,cowbells,12
12/31/2024,i,400204,235,Destination,QP82VFAOZ0II,bathbombs,23
12/31/2024,b,400203,180,Shipping Point,1IHHY8NC9F6V,cowbells,6
12/31/2024,b,400203,180,Shipping Point,1IHHY8NC9F6V,bathbombs,24
12/31/2024,k,400202,125,Shipping Point,370C4AHE7HFM,cowbells,4
12/31/2024,k,400202,125,Shipping Point,370C4AHE7HFM,bathbombs,17
12/31/2024,i,400201,55,Shipping Point,O4RY3W3LQEAI,cowbells,3
12/31/2024,i,400201,55,Shipping Point,O4RY3W3LQEAI,bathbombs,5
12/31/2024,c,400200,340,Shipping Point,NCT0G97I2GGW,cowbells,15
12/31/2024,c,400200,340,Shipping Point,NCT0G97I2GGW,bathbombs,38
12/31/2024,a,400199,175,Shipping Point,SZ8ERUQJN6FO,cowbells,12
12/31/2024,a,400199,175,Shipping Point,SZ8ERUQJN6FO,bathbombs,11
12/31/2024,d,400198,190,Shipping Point,903N85DMFPDG,cowbells,7
12/31/2024,d,400198,190,Shipping Point,903N85DMFPDG,bathbombs,24
12/31/2024,d,400197,220,Destination,ZLCAUB24C0TL,cowbells,10
12/31/2024,d,400197,220,Destination,ZLCAUB24C0TL,bathbombs,24
12/31/2024,g,400196,210,Shipping Point,BVN4QBZOFZQD,cowbells,9
12/31/2024,g,400196,210,Shipping Point,BVN4QBZOFZQD,bathbombs,24
12/31/2024,i,400195,300,Destination,E9K14UDR75CB,cowbells,16
12/31/2024,i,400195,300,Destination,E9K14UDR75CB,bathbombs,28
12/31/2024,d,400194,130,Destination,9AJH7NT5HD36,cowbells,7
12/31/2024,d,400194,130,Destination,9AJH7NT5HD36,bathbombs,12
12/31/2024,k,400193,215,Shipping Point,ZURSOCYN9TM0,cowbells,5
12/31/2024,k,400193,215,Shipping Point,ZURSOCYN9TM0,bathbombs,33
12/31/2024,g,400192,220,Shipping Point,GHK2O13NBL5Z,cowbells,11
12/31/2024,g,400192,220,Shipping Point,GHK2O13NBL5Z,bathbombs,22
12/31/2024,e,400191,290,Destination,EJTATLANPTF4,cowbells,17
12/31/2024,e,400191,290,Destination,EJTATLANPTF4,bathbombs,24
12/31/2024,l,400190,200,Shipping Point,08172RM1BGS0,cowbells,17
12/31/2024,l,400190,200,Shipping Point,08172RM1BGS0,bathbombs,6
12/31/2024,g,400189,170,Shipping Point,JE0FO313OI4Y,cowbells,9
12/31/2024,g,400189,170,Shipping Point,JE0FO313OI4Y,bathbombs,16
12/31/2024,l,400188,310,Shipping Point,OBVHO71EN449,cowbells,23
12/31/2024,l,400188,310,Shipping Point,OBVHO71EN449,bathbombs,16
12/31/2024,a,400187,200,Shipping Point,W6YE99EK6XQD,cowbells,11
12/31/2024,a,400187,200,Shipping Point,W6YE99EK6XQD,bathbombs,18
12/31/2024,a,400186,255,Shipping Point,154MFN0PPXGX,cowbells,13
12/31/2024,a,400186,255,Shipping Point,154MFN0PPXGX,bathbombs,25
12/31/2024,f,400185,210,Shipping Point,ATX0SG7IW00E,cowbells,6
12/31/2024,f,400185,210,Shipping Point,ATX0SG7IW00E,bathbombs,30
12/31/2024,b,400184,155,Shipping Point,YURN3OU0Q58R,cowbells,13
12/31/2024,b,400184,155,Shipping Point,YURN3OU0Q58R,bathbombs,5
12/31/2024,m,400183,175,Shipping Point,12K7QOSVNQ14,cowbells,11
12/31/2024,m,400183,175,Shipping Point,12K7QOSVNQ14,bathbombs,13
12/31/2024,k,400182,260,Shipping Point,S7EPX9X5N6UG,cowbells,13
12/31/2024,k,400182,260,Shipping Point,S7EPX9X5N6UG,bathbombs,26
12/31/2024,a,400181,240,Destination,QVJ4XNZ3IC0P,cowbells,11
12/31/2024,a,400181,240,Destination,QVJ4XNZ3IC0P,bathbombs,26
12/31/2024,i,400180,200,Shipping Point,DBNWSJMS8UVH,cowbells,7
12/31/2024,i,400180,200,Shipping Point,DBNWSJMS8UVH,bathbombs,26
12/31/2024,m,400179,240,Destination,QONNCV08DWVA,cowbells,13
12/31/2024,m,400179,240,Destination,QONNCV08DWVA,bathbombs,22
12/31/2024,k,400178,170,Shipping Point,48L6RFF3SZAP,cowbells,8
12/31/2024,k,400178,170,Shipping Point,48L6RFF3SZAP,bathbombs,18
12/31/2024,d,400177,125,Shipping Point,C54AOKKAMPWM,cowbells,0
12/31/2024,d,400177,125,Shipping Point,C54AOKKAMPWM,bathbombs,25
12/31/2024,m,400176,160,Shipping Point,PBGBKUR3FY34,cowbells,11
12/31/2024,m,400176,160,Shipping Point,PBGBKUR3FY34,bathbombs,10
12/31/2024,c,400175,200,Destination,3XJZSUKBFSBI,cowbells,6
12/31/2024,c,400175,200,Destination,3XJZSUKBFSBI,bathbombs,28
12/31/2024,h,400174,285,Shipping Point,580RE4R8AUMW,cowbells,14
12/31/2024,h,400174,285,Shipping Point,580RE4R8AUMW,bathbombs,29
12/31/2024,f,400173,165,Destination,7EN0UYZ3OVJC,cowbells,13
12/31/2024,f,400173,165,Destination,7EN0UYZ3OVJC,bathbombs,7
12/31/2024,d,400172,205,Shipping Point,YMM9U3YFWGNP,cowbells,12
12/31/2024,d,400172,205,Shipping Point,YMM9U3YFWGNP,bathbombs,17
12/31/2024,m,400171,160,Shipping Point,ZLQ2U9EX1D5H,cowbells,7
12/31/2024,m,400171,160,Shipping Point,ZLQ2U9EX1D5H,bathbombs,18
12/31/2024,d,400170,165,Destination,FMSP1C5ENFHS,cowbells,8
12/31/2024,d,400170,165,Destination,FMSP1C5ENFHS,bathbombs,17
12/31/2024,j,400169,220,Shipping Point,W9J2ZM9JELDD,cowbells,10
12/31/2024,j,400169,220,Shipping Point,W9J2ZM9JELDD,bathbombs,24
12/31/2024,l,400168,165,Shipping Point,120C1386VTEO,cowbells,7
12/31/2024,l,400168,165,Shipping Point,120C1386VTEO,bathbombs,19
12/31/2024,c,400167,270,Destination,NDK0COBT1POS,cowbells,17
12/31/2024,c,400167,270,Destination,NDK0COBT1POS,bathbombs,20
12/31/2024,a,400166,195,Shipping Point,71LFB69G3M0E,cowbells,12
12/31/2024,a,400166,195,Shipping Point,71LFB69G3M0E,bathbombs,15
12/31/2024,m,400165,165,Destination,C9JCCDRTJYFL,cowbells,9
12/31/2024,m,400165,165,Destination,C9JCCDRTJYFL,bathbombs,15
12/31/2024,f,400164,185,Shipping Point,05UHE0WLL5RM,cowbells,10
12/31/2024,f,400164,185,Shipping Point,05UHE0WLL5RM,bathbombs,17
12/31/2024,a,400163,255,Shipping Point,LHJIZALC5L5Z,cowbells,16
12/31/2024,a,400163,255,Shipping Point,LHJIZALC5L5Z,bathbombs,19
12/31/2024,c,400162,235,Destination,8UUE9R7409RO,cowbells,13
12/31/2024,c,400162,235,Destination,8UUE9R7409RO,bathbombs,21
12/31/2024,e,400161,275,Destination,H9K0O36ESIUV,cowbells,15
12/31/2024,e,400161,275,Destination,H9K0O36ESIUV,bathbombs,25
12/31/2024,g,400160,175,Destination,AAL5YLLDBX5W,cowbells,5
12/31/2024,g,400160,175,Destination,AAL5YLLDBX5W,bathbombs,25
12/31/2024,a,400159,125,Destination,BX568Y70RJV7,cowbells,5
12/31/2024,a,400159,125,Destination,BX568Y70RJV7,bathbombs,15
12/31/2024,k,400158,110,Shipping Point,JOCVNFXAPVO0,cowbells,3
12/31/2024,k,400158,110,Shipping Point,JOCVNFXAPVO0,bathbombs,16
12/31/2024,f,400157,280,Shipping Point,9ERCH0Y8B8FL,cowbells,9
12/31/2024,f,400157,280,Shipping Point,9ERCH0Y8B8FL,bathbombs,38
12/31/2024,a,400156,135,Destination,VKJSAHS48A7U,cowbells,6
12/31/2024,a,400156,135,Destination,VKJSAHS48A7U,bathbombs,15
12/31/2024,j,400155,240,Shipping Point,9QOUFV5M76JE,cowbells,15
12/31/2024,j,400155,240,Shipping Point,9QOUFV5M76JE,bathbombs,18
12/31/2024,j,400154,190,Destination,NECRVHP1BJ5Y,cowbells,9
12/31/2024,j,400154,190,Destination,NECRVHP1BJ5Y,bathbombs,20
12/31/2024,l,400153,155,Destination,MTZNKBLAYVBI,cowbells,10
12/31/2024,l,400153,155,Destination,MTZNKBLAYVBI,bathbombs,11
12/31/2024,e,400152,200,Destination,GSQD5XKOTA3Y,cowbells,11
12/31/2024,e,400152,200,Destination,GSQD5XKOTA3Y,bathbombs,18
12/31/2024,i,400151,265,Destination,J1HGLNK8PPLQ,cowbells,11
12/31/2024,i,400151,265,Destination,J1HGLNK8PPLQ,bathbombs,31
12/31/2024,m,400150,195,Shipping Point,Q2LY6CAFFG51,cowbells,12
12/31/2024,m,400150,195,Shipping Point,Q2LY6CAFFG51,bathbombs,15
12/31/2024,d,400149,185,Destination,QZZL3KFAGZF4,cowbells,10
12/31/2024,d,400149,185,Destination,QZZL3KFAGZF4,bathbombs,17
12/31/2024,c,400148,225,Shipping Point,5ESQWATGNR4A,cowbells,15
12/31/2024,c,400148,225,Shipping Point,5ESQWATGNR4A,bathbombs,15
12/31/2024,h,400147,155,Destination,IYT0Q0XBGK1S,cowbells,7
12/31/2024,h,400147,155,Destination,IYT0Q0XBGK1S,bathbombs,17
12/31/2024,c,400146,205,Destination,Z7MJUZRTL92T,cowbells,10
12/31/2024,c,400146,205,Destination,Z7MJUZRTL92T,bathbombs,21
12/31/2024,i,400145,160,Shipping Point,C2UDO1WW2MN9,cowbells,8
12/31/2024,i,400145,160,Shipping Point,C2UDO1WW2MN9,bathbombs,16
12/31/2024,m,400144,125,Shipping Point,XBGG9KPW1XW6,cowbells,6
12/31/2024,m,400144,125,Shipping Point,XBGG9KPW1XW6,bathbombs,13
12/31/2024,k,400143,305,Shipping Point,YY5LOZ2000U6,cowbells,15
12/31/2024,k,400143,305,Shipping Point,YY5LOZ2000U6,bathbombs,31
12/31/2024,b,400142,165,Shipping Point,BTBA0D557WNN,cowbells,7
12/31/2024,b,400142,165,Shipping Point,BTBA0D557WNN,bathbombs,19
12/31/2024,m,400141,110,Shipping Point,GFH9XMUMBH4I,cowbells,5
12/31/2024,m,400141,110,Shipping Point,GFH9XMUMBH4I,bathbombs,12
12/31/2024,a,400140,205,Shipping Point,NXTTV6W36NV5,cowbells,11
12/31/2024,a,400140,205,Shipping Point,NXTTV6W36NV5,bathbombs,19
12/31/2024,e,400139,180,Shipping Point,ZTYM0HBIN92D,cowbells,6
12/31/2024,e,400139,180,Shipping Point,ZTYM0HBIN92D,bathbombs,24
12/31/2024,f,400138,205,Destination,XU5VLUXIS00R,cowbells,12
12/31/2024,f,400138,205,Destination,XU5VLUXIS00R,bathbombs,17
12/31/2024,m,400137,240,Shipping Point,IPJSWGRCAK1E,cowbells,12
12/31/2024,m,400137,240,Shipping Point,IPJSWGRCAK1E,bathbombs,24
12/31/2024,e,400136,215,Destination,PBFS1ZYAIWYJ,cowbells,8
12/31/2024,e,400136,215,Destination,PBFS1ZYAIWYJ,bathbombs,27
12/31/2024,k,400135,305,Shipping Point,5WCFV3AJ38ZA,cowbells,18
12/31/2024,k,400135,305,Shipping Point,5WCFV3AJ38ZA,bathbombs,25
12/31/2024,a,400134,170,Destination,ZTIP3H5ZBQNY,cowbells,10
12/31/2024,a,400134,170,Destination,ZTIP3H5ZBQNY,bathbombs,14
12/31/2024,e,400133,240,Destination,KU4RBU0VCXID,cowbells,13
12/31/2024,e,400133,240,Destination,KU4RBU0VCXID,bathbombs,22
12/31/2024,h,400132,165,Shipping Point,RPCLJ98AYBUX,cowbells,12
12/31/2024,h,400132,165,Shipping Point,RPCLJ98AYBUX,bathbombs,9
12/31/2024,k,400131,210,Shipping Point,VKSXQVNHECR6,cowbells,12
12/31/2024,k,400131,210,Shipping Point,VKSXQVNHECR6,bathbombs,18
12/31/2024,f,400130,260,Shipping Point,8MJVA1IT44L1,cowbells,12
12/31/2024,f,400130,260,Shipping Point,8MJVA1IT44L1,bathbombs,28
12/31/2024,h,400129,165,Destination,73LOFH8CJGKT,cowbells,8
12/31/2024,h,400129,165,Destination,73LOFH8CJGKT,bathbombs,17
12/31/2024,a,400128,210,Destination,ULM6QBSZEGKO,cowbells,12
12/31/2024,a,400128,210,Destination,ULM6QBSZEGKO,bathbombs,18
12/31/2024,c,400127,250,Shipping Point,IL9H35N72YKZ,cowbells,16
12/31/2024,c,400127,250,Shipping Point,IL9H35N72YKZ,bathbombs,18
12/31/2024,f,400126,190,Shipping Point,AUU8OQ213BIN,cowbells,8
12/31/2024,f,400126,190,Shipping Point,AUU8OQ213BIN,bathbombs,22
12/31/2024,c,400125,180,Shipping Point,W153B56BTX5A,cowbells,12
12/31/2024,c,400125,180,Shipping Point,W153B56BTX5A,bathbombs,12
12/31/2024,h,400124,150,Destination,XVBWUTG6G9H8,cowbells,7
12/31/2024,h,400124,150,Destination,XVBWUTG6G9H8,bathbombs,16
12/31/2024,g,400123,160,Shipping Point,QOCT191QE58U,cowbells,12
12/31/2024,g,400123,160,Shipping Point,QOCT191QE58U,bathbombs,8
12/31/2024,m,400122,220,Destination,XLANB7PHQVCW,cowbells,11
12/31/2024,m,400122,220,Destination,XLANB7PHQVCW,bathbombs,22
12/31/2024,a,400121,335,Destination,K864W9TWKSTB,cowbells,16
12/31/2024,a,400121,335,Destination,K864W9TWKSTB,bathbombs,35
12/31/2024,i,400120,180,Shipping Point,YJDGGU0AOP8P,cowbells,8
12/31/2024,i,400120,180,Shipping Point,YJDGGU0AOP8P,bathbombs,20
12/31/2024,d,400119,245,Destination,LEIB2YKIEO6O,cowbells,13
12/31/2024,d,400119,245,Destination,LEIB2YKIEO6O,bathbombs,23
12/31/2024,a,400118,115,Shipping Point,1R2ZHFWITAVX,cowbells,3
12/31/2024,a,400118,115,Shipping Point,1R2ZHFWITAVX,bathbombs,17
12/31/2024,g,400117,180,Shipping Point,Y3G54FCBP2HV,cowbells,7
12/31/2024,g,400117,180,Shipping Point,Y3G54FCBP2HV,bathbombs,22
12/31/2024,b,400116,220,Shipping Point,NAKK17L36QB4,cowbells,10
12/31/2024,b,400116,220,Shipping Point,NAKK17L36QB4,bathbombs,24
12/31/2024,g,400115,205,Shipping Point,W4GK0BRW92RB,cowbells,11
12/31/2024,g,400115,205,Shipping Point,W4GK0BRW92RB,bathbombs,19
12/31/2024,h,400114,230,Shipping Point,HJFKHMT75ZEG,cowbells,10
12/31/2024,h,400114,230,Shipping Point,HJFKHMT75ZEG,bathbombs,26
12/31/2024,a,400113,200,Shipping Point,BP6UV1OWLUHL,cowbells,9
12/31/2024,a,400113,200,Shipping Point,BP6UV1OWLUHL,bathbombs,22
12/31/2024,k,400112,85,Shipping Point,SV36KNO1LBBS,cowbells,0
12/31/2024,k,400112,85,Shipping Point,SV36KNO1LBBS,bathbombs,17
12/31/2024,e,400111,205,Shipping Point,AMJICABP2J0R,cowbells,14
12/31/2024,e,400111,205,Shipping Point,AMJICABP2J0R,bathbombs,13
12/31/2024,l,400110,160,Destination,IM4JE1TVUXPM,cowbells,5
12/31/2024,l,400110,160,Destination,IM4JE1TVUXPM,bathbombs,22
12/31/2024,l,400109,170,Destination,54Z0BTRB9VR1,cowbells,10
12/31/2024,l,400109,170,Destination,54Z0BTRB9VR1,bathbombs,14
12/31/2024,b,400108,250,Shipping Point,80Q98JEOS3DN,cowbells,13
12/31/2024,b,400108,250,Shipping Point,80Q98JEOS3DN,bathbombs,24
12/31/2024,k,400107,180,Shipping Point,ZS575FXABZ3O,cowbells,13
12/31/2024,k,400107,180,Shipping Point,ZS575FXABZ3O,bathbombs,10
12/31/2024,k,400106,225,Shipping Point,IQHJRAMPBWZO,cowbells,11
12/31/2024,k,400106,225,Shipping Point,IQHJRAMPBWZO,bathbombs,23
12/31/2024,c,400105,125,Shipping Point,JM30MY9L6EPP,cowbells,5
12/31/2024,c,400105,125,Shipping Point,JM30MY9L6EPP,bathbombs,15
12/31/2024,k,400104,220,Destination,OM6UZU72NL77,cowbells,9
12/31/2024,k,400104,220,Destination,OM6UZU72NL77,bathbombs,26
12/31/2024,j,400103,165,Destination,IX176PMPB0D8,cowbells,7
12/31/2024,j,400103,165,Destination,IX176PMPB0D8,bathbombs,19
12/31/2024,i,400102,175,Shipping Point,NGEV3T8RVUNH,cowbells,4
12/31/2024,i,400102,175,Shipping Point,NGEV3T8RVUNH,bathbombs,27
12/31/2024,j,400101,260,Shipping Point,5XMRYLOQ2XIX,cowbells,17
12/31/2024,j,400101,260,Shipping Point,5XMRYLOQ2XIX,bathbombs,18
12/31/2024,e,400100,120,Destination,F9282WNDL4R2,cowbells,8
12/31/2024,e,400100,120,Destination,F9282WNDL4R2,bathbombs,8
12/31/2024,j,400099,210,Shipping Point,Q46IPCGNZIT1,cowbells,11
12/31/2024,j,400099,210,Shipping Point,Q46IPCGNZIT1,bathbombs,20
12/31/2024,k,400098,215,Shipping Point,T5JML3W5FU89,cowbells,14
12/31/2024,k,400098,215,Shipping Point,T5JML3W5FU89,bathbombs,15
12/31/2024,k,400097,180,Destination,05NQILZWZ4M5,cowbells,5
12/31/2024,k,400097,180,Destination,05NQILZWZ4M5,bathbombs,26
12/31/2024,g,400095,250,Shipping Point,SSJZJ14KOXIY,cowbells,12
12/31/2024,g,400095,250,Shipping Point,SSJZJ14KOXIY,bathbombs,26
12/31/2024,a,400094,145,Destination,NSBQ6D8ASX2P,cowbells,11
12/31/2024,a,400094,145,Destination,NSBQ6D8ASX2P,bathbombs,7
12/31/2024,h,400093,210,Destination,9MPI7IYW9XHG,cowbells,8
12/31/2024,h,400093,210,Destination,9MPI7IYW9XHG,bathbombs,26
12/31/2024,a,400092,265,Destination,M384SZHOQ27K,cowbells,14
12/31/2024,a,400092,265,Destination,M384SZHOQ27K,bathbombs,25
12/31/2024,b,400091,190,Destination,DIFRS6I99NE4,cowbells,12
12/31/2024,b,400091,190,Destination,DIFRS6I99NE4,bathbombs,14
12/31/2024,d,400090,215,Shipping Point,8TGWBAE1AEUF,cowbells,11
12/31/2024,d,400090,215,Shipping Point,8TGWBAE1AEUF,bathbombs,21
12/31/2024,j,400089,240,Destination,E5T0VDIDXEI8,cowbells,9
