sales_date	customer_id	invoice_num	starfire_lantern_qty	nightlock_net_qty	invoice_amount
2024-02-16	D4 Tidefront Supplies	385580	12	11	422
2024-02-19	D7 Timberline Collective	386002	18	11	416
2024-02-19	D4 Tidefront Supplies	385918	25	13	503
2024-02-19	D4 Tidefront Supplies	385940	19	11	484
2024-02-19	D12 Ember Corp.	385999	7	12	358
2024-02-19	D3 SignalWorks	385979	36	4	438
2024-02-20	D7 Timberline Collective	386116	26	10	499
2024-02-21	D7 Timberline Collective	386191	22	9	490
2024-02-21	D7 Timberline Collective	386223	17	17	555
2024-02-21	D4 Tidefront Supplies	386285	21	10	398
2024-02-21	D12 Ember Corp.	386240	32	13	579
2024-02-22	D3 SignalWorks	386482	18	18	569
2024-02-22	D12 Ember Corp.	386443	18	12	474
2024-02-22	D12 Ember Corp.	386368	2	4	201
2024-02-23	D3 SignalWorks	386516	16	10	396
2024-02-23	D4 Tidefront Supplies	386605	13	6	295
2024-02-23	D4 Tidefront Supplies	386532	14	3	275
2024-02-26	D12 Ember Corp.	387059	18	9	369
2024-02-26	D7 Timberline Collective	387043	26	11	482
2024-02-26	D7 Timberline Collective	386950	19	6	367
2024-02-26	D3 SignalWorks	386968	16	11	397
2024-02-27	D12 Ember Corp.	387133	30	10	505
2024-02-27	D7 Timberline Collective	387173	13	6	299
2024-02-27	D7 Timberline Collective	387189	27	15	605
2024-02-27	D4 Tidefront Supplies	387156	27	15	630
2024-02-28	D3 SignalWorks	387333	21	7	367
2024-02-28	D4 Tidefront Supplies	387285	22	10	430
2024-02-28	D12 Ember Corp.	387314	28	10	471
2024-02-28	D12 Ember Corp.	387325	30	6	401
2024-02-29	D12 Ember Corp.	387500	21	2	264
2024-02-29	D4 Tidefront Supplies	387536	22	7	370
2024-02-29	D7 Timberline Collective	387448	15	9	361
2024-02-29	D3 SignalWorks	387501	21	7	382
2024-03-01	D4 Tidefront Supplies	387685	22	14	538
2024-03-01	D11 Harvest Defense Co.	387558	26	13	577
2024-03-04	D3 SignalWorks	388079	20	11	489
2024-03-04	D4 Tidefront Supplies	388126	18	16	505
2024-03-04	D4 Tidefront Supplies	388080	20	11	404
2024-03-05	D7 Timberline Collective	388235	24	8	395
2024-03-05	D7 Timberline Collective	388183	29	12	560
2024-03-06	D12 Ember Corp.	388328	23	8	413
2024-03-06	D12 Ember Corp.	388409	17	13	475
2024-03-06	D4 Tidefront Supplies	388324	20	9	439
2024-03-06	D3 SignalWorks	388305	27	12	480
2024-03-07	D3 SignalWorks	388452	28	2	323
2024-03-07	D12 Ember Corp.	388553	17	8	386
2024-03-07	D3 SignalWorks	388534	16	5	320
2024-03-07	D7 Timberline Collective	388568	9	5	221
2024-03-07	D12 Ember Corp.	388510	35	11	521
2024-03-08	D12 Ember Corp.	388593	21	6	329
2024-03-08	D11 Harvest Defense Co.	388628	12	11	414
2024-03-08	D12 Ember Corp.	388730	23	7	380
2024-03-08	D11 Harvest Defense Co.	388619	21	8	399
2024-03-11	D4 Tidefront Supplies	389117	16	10	339
2024-03-11	D12 Ember Corp.	389138	26	11	483
2024-03-11	D3 SignalWorks	389187	18	6	342
2024-03-11	D3 SignalWorks	389186	25	10	465
2024-03-11	D7 Timberline Collective	389172	19	9	445
2024-03-12	D12 Ember Corp.	389298	14	6	313
2024-03-12	D3 SignalWorks	389199	24	10	442
2024-03-13	D12 Ember Corp.	389445	19	12	436
2024-03-13	D12 Ember Corp.	389359	16	14	492
2024-03-13	D12 Ember Corp.	389464	12	6	279
2024-03-13	D4 Tidefront Supplies	389478	28	6	410
2024-03-14	D12 Ember Corp.	389599	13	16	528
2024-03-14	D11 Harvest Defense Co.	389528	22	12	484
2024-03-14	D12 Ember Corp.	389502	26	10	477
2024-03-14	D11 Harvest Defense Co.	389634	16	12	444
2024-03-14	D12 Ember Corp.	389538	23	10	449
2024-03-14	D4 Tidefront Supplies	389514	20	8	405
2024-03-15	D7 Timberline Collective	389755	15	9	435
2024-03-15	D12 Ember Corp.	389701	25	8	410
2024-03-15	D7 Timberline Collective	389717	9	14	455
2024-03-15	D12 Ember Corp.	389671	10	13	398
2024-03-15	D7 Timberline Collective	389763	26	11	486
2024-03-18	D12 Ember Corp.	390110	26	14	568
2024-03-18	D3 SignalWorks	390219	10	9	316
2024-03-18	D7 Timberline Collective	390141	29	12	512
2024-03-18	D12 Ember Corp.	390204	22	13	491
2024-03-18	D7 Timberline Collective	390179	14	13	441
2024-03-18	D4 Tidefront Supplies	390127	25	9	397
2024-03-18	D11 Harvest Defense Co.	390175	24	8	411
2024-03-19	D11 Harvest Defense Co.	390381	17	15	516
2024-03-19	D12 Ember Corp.	390317	21	6	381
2024-03-20	D12 Ember Corp.	390485	17	10	407
2024-03-20	D12 Ember Corp.	390464	20	15	549
2024-03-20	D4 Tidefront Supplies	390422	34	8	506
2024-03-21	D4 Tidefront Supplies	390600	18	12	466
2024-03-21	D7 Timberline Collective	390657	12	8	271
2024-03-21	D12 Ember Corp.	390585	15	7	362
2024-03-21	D12 Ember Corp.	390543	16	7	347
2024-03-22	D4 Tidefront Supplies	390755	17	15	488
2024-03-22	D11 Harvest Defense Co.	390719	29	10	473
2024-03-22	D3 SignalWorks	390801	20	9	433
2024-03-22	D7 Timberline Collective	390714	13	8	353
2024-03-22	D4 Tidefront Supplies	390803	13	13	440
2024-03-22	D12 Ember Corp.	390702	35	6	426
2024-03-22	D4 Tidefront Supplies	390804	7	11	381
2024-03-25	D7 Timberline Collective	391259	13	13	454
2024-03-25	D7 Timberline Collective	391284	26	11	498
2024-03-25	D12 Ember Corp.	391274	23	0	254
2024-03-25	D11 Harvest Defense Co.	391238	30	9	529
2024-03-25	D4 Tidefront Supplies	391266	12	10	373
2024-03-26	D4 Tidefront Supplies	391401	17	11	440
2024-03-26	D7 Timberline Collective	391382	6	10	362
2024-03-26	D4 Tidefront Supplies	391390	13	17	515
2024-03-26	D12 Ember Corp.	391319	20	11	455
2024-03-26	D7 Timberline Collective	391299	23	6	353
2024-03-26	D4 Tidefront Supplies	391331	13	12	426
2024-03-27	D4 Tidefront Supplies	391541	24	15	584
2024-03-27	D7 Timberline Collective	391473	22	8	438
2024-03-27	D3 SignalWorks	391522	26	8	446
2024-03-27	D12 Ember Corp.	391460	35	10	526
2024-03-27	D7 Timberline Collective	391465	24	11	475
2024-03-27	D12 Ember Corp.	391509	21	9	418
2024-03-27	D7 Timberline Collective	391447	25	12	457
2024-03-27	D4 Tidefront Supplies	391516	16	9	373
2024-03-28	D7 Timberline Collective	391689	23	9	466
2024-03-28	D7 Timberline Collective	391599	27	7	462
2024-03-29	D12 Ember Corp.	391823	22	12	480
2024-03-29	D12 Ember Corp.	391875	33	10	508
2024-03-29	D4 Tidefront Supplies	391814	14	6	291
2024-03-29	D12 Ember Corp.	391771	23	14	544
2024-03-29	D12 Ember Corp.	391757	26	13	523
2024-03-29	D7 Timberline Collective	391803	21	8	381
2024-03-29	D4 Tidefront Supplies	391855	30	8	467
2024-03-29	D12 Ember Corp.	391780	36	11	557
2024-03-29	D7 Timberline Collective	391843	27	14	536
2024-04-01	D3 SignalWorks	392206	18	7	337
2024-04-01	D12 Ember Corp.	392257	14	9	379
2024-04-01	D3 SignalWorks	392211	17	7	334
2024-04-01	D7 Timberline Collective	392317	18	12	436
2024-04-01	D12 Ember Corp.	392332	12	7	316
2024-04-01	D12 Ember Corp.	392334	23	15	560
2024-04-01	D3 SignalWorks	392314	25	10	462
2024-04-02	D4 Tidefront Supplies	392392	19	7	417
2024-04-02	D12 Ember Corp.	392473	20	9	397
2024-04-02	D12 Ember Corp.	392352	22	17	578
2024-04-02	D7 Timberline Collective	392381	23	10	442
2024-04-02	D11 Harvest Defense Co.	392407	17	6	349
2024-04-02	D12 Ember Corp.	392353	13	9	350
2024-04-03	D11 Harvest Defense Co.	392621	24	14	518
2024-04-03	D12 Ember Corp.	392548	21	12	498
2024-04-03	D4 Tidefront Supplies	392507	18	10	504
2024-04-03	D11 Harvest Defense Co.	392545	14	11	419
2024-04-03	D12 Ember Corp.	392527	13	11	400
2024-04-03	D7 Timberline Collective	392635	15	8	369
2024-04-04	D4 Tidefront Supplies	392737	30	6	447
2024-04-04	D7 Timberline Collective	392668	8	12	401
2024-04-04	D3 SignalWorks	392708	14	15	513
2024-04-04	D3 SignalWorks	392690	14	19	566
2024-04-04	D4 Tidefront Supplies	392749	20	7	380
2024-04-04	D12 Ember Corp.	392714	27	11	525
2024-04-04	D12 Ember Corp.	392760	24	13	516
2024-04-04	D12 Ember Corp.	392676	26	10	503
2024-04-05	D4 Tidefront Supplies	392934	14	11	389
2024-04-05	D12 Ember Corp.	392839	28	14	601
2024-04-05	D12 Ember Corp.	392835	34	13	589
2024-04-05	D12 Ember Corp.	392877	20	15	514
2024-04-05	D12 Ember Corp.	392801	32	11	564
2024-04-05	D4 Tidefront Supplies	392803	17	8	402
2024-04-08	D3 SignalWorks	393300	24	14	506
2024-04-08	D12 Ember Corp.	393342	32	8	445
2024-04-08	D4 Tidefront Supplies	393275	12	7	314
2024-04-08	D4 Tidefront Supplies	393313	22	13	538
2024-04-08	D7 Timberline Collective	393345	20	10	437
2024-04-09	D12 Ember Corp.	393396	13	8	347
2024-04-09	D11 Harvest Defense Co.	393442	20	17	513
2024-04-09	D4 Tidefront Supplies	393522	7	9	299
2024-04-09	D12 Ember Corp.	393399	19	9	396
2024-04-10	D12 Ember Corp.	393598	31	8	474
2024-04-10	D3 SignalWorks	393544	15	5	329
2024-04-10	D12 Ember Corp.	393555	24	10	490
2024-04-10	D4 Tidefront Supplies	393591	22	3	277
2024-04-10	D3 SignalWorks	393566	12	6	306
2024-04-10	D4 Tidefront Supplies	393636	14	7	316
2024-04-11	D7 Timberline Collective	393829	16	12	457
2024-04-11	D7 Timberline Collective	393745	16	7	331
2024-04-11	D12 Ember Corp.	393703	16	8	356
2024-04-12	D12 Ember Corp.	393953	23	6	389
2024-04-12	D7 Timberline Collective	393947	19	9	400
2024-04-12	D4 Tidefront Supplies	393856	20	9	387
2024-04-12	D3 SignalWorks	393878	20	15	492
2024-04-12	D12 Ember Corp.	393979	16	12	447
2024-04-15	D12 Ember Corp.	394329	34	9	479
2024-04-15	D12 Ember Corp.	394302	19	10	455
2024-04-15	D4 Tidefront Supplies	394318	17	12	413
2024-04-15	D3 SignalWorks	394349	13	15	470
2024-04-15	D12 Ember Corp.	394341	18	8	367
2024-04-15	D12 Ember Corp.	394411	18	7	329
2024-04-15	D3 SignalWorks	394405	23	11	400
2024-04-16	D12 Ember Corp.	394456	16	9	355
2024-04-16	D12 Ember Corp.	394482	21	10	415
2024-04-16	D12 Ember Corp.	394573	26	13	530
2024-04-16	D4 Tidefront Supplies	394450	24	10	498
2024-04-16	D12 Ember Corp.	394558	14	11	396
2024-04-16	D12 Ember Corp.	394553	16	14	454
2024-04-16	D7 Timberline Collective	394494	18	14	495
2024-04-17	D11 Harvest Defense Co.	394704	24	13	528
2024-04-17	D7 Timberline Collective	394733	14	14	474
2024-04-17	D7 Timberline Collective	394694	21	13	517
2024-04-17	D12 Ember Corp.	394594	20	12	494
2024-04-17	D12 Ember Corp.	394677	28	9	469
2024-04-18	D4 Tidefront Supplies	394817	25	11	474
2024-04-18	D12 Ember Corp.	394740	20	9	417
2024-04-18	D12 Ember Corp.	394838	26	13	554
2024-04-18	D4 Tidefront Supplies	394867	15	7	306
2024-04-19	D12 Ember Corp.	395002	14	8	339
2024-04-19	D12 Ember Corp.	394927	24	9	436
2024-04-19	D3 SignalWorks	395030	12	8	309
2024-04-19	D4 Tidefront Supplies	395007	14	15	443
2024-04-19	D12 Ember Corp.	394952	22	12	493
2024-04-22	D3 SignalWorks	395432	26	9	430
2024-04-22	D11 Harvest Defense Co.	395398	20	13	521
2024-04-22	D3 SignalWorks	395468	11	11	353
2024-04-22	D12 Ember Corp.	395461	20	9	397
2024-04-22	D12 Ember Corp.	395368	15	8	339
2024-04-22	D4 Tidefront Supplies	395480	10	11	380
2024-04-22	D4 Tidefront Supplies	395389	13	12	439
2024-04-22	D3 SignalWorks	395379	18	10	463
2024-04-22	D11 Harvest Defense Co.	395381	29	11	499
2024-04-23	D7 Timberline Collective	395496	24	7	408
2024-04-23	D7 Timberline Collective	395594	13	13	469
2024-04-23	D11 Harvest Defense Co.	395589	26	16	544
2024-04-23	D7 Timberline Collective	395497	8	11	358
2024-04-23	D4 Tidefront Supplies	395572	17	8	353
2024-04-23	D11 Harvest Defense Co.	395513	30	12	570
2024-04-23	D4 Tidefront Supplies	395571	14	7	340
2024-04-24	D12 Ember Corp.	395640	9	7	314
2024-04-24	D12 Ember Corp.	395646	23	8	395
2024-04-24	D3 SignalWorks	395661	19	8	403
2024-04-24	D7 Timberline Collective	395714	29	11	481
2024-04-24	D4 Tidefront Supplies	395665	20	5	309
2024-04-24	D3 SignalWorks	395654	10	8	360
2024-04-24	D12 Ember Corp.	395708	11	9	324
2024-04-24	D3 SignalWorks	395728	16	5	331
2024-04-25	D12 Ember Corp.	395797	24	14	564
2024-04-25	D7 Timberline Collective	395827	23	6	402
2024-04-25	D12 Ember Corp.	395932	10	14	435
2024-04-25	D12 Ember Corp.	395820	19	8	365
2024-04-25	D12 Ember Corp.	395813	22	13	517
2024-04-25	D4 Tidefront Supplies	395873	15	9	330
2024-04-25	D12 Ember Corp.	395834	16	11	398
2024-04-26	D7 Timberline Collective	396071	30	11	472
2024-04-26	D3 SignalWorks	396083	9	15	441
2024-04-26	D11 Harvest Defense Co.	396015	18	13	469
2024-04-26	D4 Tidefront Supplies	396024	10	12	415
2024-04-26	D4 Tidefront Supplies	395965	16	8	359
2024-04-29	D7 Timberline Collective	396466	21	8	404
2024-04-29	D12 Ember Corp.	396497	27	9	468
2024-04-29	D12 Ember Corp.	396391	25	11	486
2024-04-29	D12 Ember Corp.	396525	19	9	375
2024-04-29	D11 Harvest Defense Co.	396410	20	10	446
2024-04-29	D4 Tidefront Supplies	396536	23	6	421
2024-04-29	D12 Ember Corp.	396459	13	17	473
2024-04-29	D12 Ember Corp.	396517	21	6	342
2024-04-30	D11 Harvest Defense Co.	396540	9	9	328
2024-04-30	D7 Timberline Collective	396562	22	7	379
2024-04-30	D12 Ember Corp.	396680	20	13	501
2024-04-30	D3 SignalWorks	396669	36	8	534
2024-04-30	D7 Timberline Collective	396686	7	6	267
2024-04-30	D12 Ember Corp.	396585	15	13	446
2024-04-30	D12 Ember Corp.	396666	8	10	385
2024-05-01	D4 Tidefront Supplies	396741	22	9	426
2024-05-01	D4 Tidefront Supplies	396785	23	10	441
2024-05-01	D3 SignalWorks	396825	22	10	464
2024-05-01	D12 Ember Corp.	396787	26	9	418
2024-05-01	D12 Ember Corp.	396800	19	8	347
2024-05-01	D4 Tidefront Supplies	396835	18	7	351
2024-05-01	D12 Ember Corp.	396727	13	12	435
2024-05-01	D7 Timberline Collective	396720	20	9	407
2024-05-02	D7 Timberline Collective	396980	8	8	329
2024-05-02	D4 Tidefront Supplies	396952	16	11	420
2024-05-02	D4 Tidefront Supplies	396935	21	14	525
2024-05-02	D12 Ember Corp.	396899	10	13	391
2024-05-02	D7 Timberline Collective	396926	8	8	291
2024-05-02	D12 Ember Corp.	396873	18	9	418
2024-05-02	D4 Tidefront Supplies	396979	25	6	380
2024-05-02	D7 Timberline Collective	396972	32	6	460
2024-05-02	D12 Ember Corp.	396892	23	11	457
2024-05-03	D7 Timberline Collective	397112	15	6	357
2024-05-03	D4 Tidefront Supplies	397115	19	11	448
2024-05-03	D12 Ember Corp.	397114	21	11	428
2024-05-03	D4 Tidefront Supplies	397138	18	9	429
2024-05-03	D7 Timberline Collective	397087	17	13	512
2024-05-06	D12 Ember Corp.	397450	23	7	392
2024-05-06	D7 Timberline Collective	397471	20	17	504
2024-05-06	D3 SignalWorks	397541	22	11	456
2024-05-06	D4 Tidefront Supplies	397501	15	11	376
2024-05-06	D12 Ember Corp.	397539	18	11	439
2024-05-06	D7 Timberline Collective	397575	25	11	459
2024-05-06	D11 Harvest Defense Co.	397527	21	5	360
2024-05-06	D4 Tidefront Supplies	397513	16	11	425
2024-05-07	D4 Tidefront Supplies	397612	28	12	539
2024-05-07	D4 Tidefront Supplies	397674	18	13	498
2024-05-07	D12 Ember Corp.	397591	15	11	432
2024-05-07	D7 Timberline Collective	397698	25	7	431
2024-05-07	D7 Timberline Collective	397649	14	12	429
2024-05-07	D7 Timberline Collective	397708	15	8	380
2024-05-07	D4 Tidefront Supplies	397619	8	9	297
2024-05-07	D11 Harvest Defense Co.	397710	21	5	297
2024-05-08	D7 Timberline Collective	397777	23	12	496
2024-05-08	D4 Tidefront Supplies	397837	18	14	492
2024-05-08	D7 Timberline Collective	397798	18	9	394
2024-05-08	D12 Ember Corp.	397797	19	11	367
2024-05-08	D7 Timberline Collective	397766	14	8	319
2024-05-08	D4 Tidefront Supplies	397880	25	13	517
2024-05-08	D3 SignalWorks	397868	18	9	376
2024-05-08	D12 Ember Corp.	397834	21	8	399
2024-05-09	D12 Ember Corp.	397953	9	14	409
2024-05-09	D4 Tidefront Supplies	398016	30	14	537
2024-05-09	D3 SignalWorks	397901	16	13	424
2024-05-09	D12 Ember Corp.	397973	22	8	389
2024-05-09	D3 SignalWorks	397993	9	10	356
2024-05-09	D7 Timberline Collective	397981	19	12	430
2024-05-09	D7 Timberline Collective	397960	22	12	465
2024-05-09	D12 Ember Corp.	397932	17	9	348
2024-05-09	D3 SignalWorks	398004	15	6	298
2024-05-09	D12 Ember Corp.	397908	10	8	277
2024-05-09	D4 Tidefront Supplies	397922	25	10	478
2024-05-10	D7 Timberline Collective	398182	15	10	395
2024-05-10	D7 Timberline Collective	398122	19	17	590
2024-05-10	D7 Timberline Collective	398050	12	6	331
2024-05-10	D11 Harvest Defense Co.	398160	20	8	392
2024-05-10	D12 Ember Corp.	398141	24	8	381
2024-05-10	D12 Ember Corp.	398074	34	11	545
2024-05-13	D11 Harvest Defense Co.	398522	22	9	443
2024-05-13	D11 Harvest Defense Co.	398511	25	8	436
2024-05-13	D3 SignalWorks	398572	16	10	398
2024-05-13	D12 Ember Corp.	398614	27	7	412
2024-05-13	D4 Tidefront Supplies	398627	21	15	596
2024-05-13	D4 Tidefront Supplies	398521	18	16	533
2024-05-13	D12 Ember Corp.	398513	10	6	303
2024-05-13	D11 Harvest Defense Co.	398543	27	12	476
2024-05-14	D12 Ember Corp.	398730	23	8	439
2024-05-14	D3 SignalWorks	398712	24	13	545
2024-05-14	D4 Tidefront Supplies	398731	18	10	410
2024-05-14	D11 Harvest Defense Co.	398768	13	8	337
2024-05-14	D4 Tidefront Supplies	398682	10	8	310
2024-05-14	D12 Ember Corp.	398670	18	8	348
2024-05-14	D7 Timberline Collective	398778	28	15	569
2024-05-15	D4 Tidefront Supplies	398871	19	12	472
2024-05-15	D12 Ember Corp.	398908	11	14	472
2024-05-15	D12 Ember Corp.	398921	22	15	542
2024-05-15	D12 Ember Corp.	398868	16	11	442
2024-05-15	D12 Ember Corp.	398896	17	11	436
2024-05-15	D12 Ember Corp.	398877	19	10	416
2024-05-15	D7 Timberline Collective	398931	37	7	474
2024-05-15	D12 Ember Corp.	398922	13	6	294
2024-05-15	D4 Tidefront Supplies	398855	16	9	424
2024-05-16	D3 SignalWorks	398960	39	15	648
2024-05-16	D11 Harvest Defense Co.	399017	19	10	402
2024-05-16	D12 Ember Corp.	398961	17	12	444
2024-05-16	D7 Timberline Collective	399034	26	13	536
2024-05-16	D12 Ember Corp.	399068	16	14	499
2024-05-16	D11 Harvest Defense Co.	398995	18	13	419
2024-05-16	D4 Tidefront Supplies	399027	19	9	442
2024-05-16	D11 Harvest Defense Co.	399028	20	5	353
2024-05-16	D11 Harvest Defense Co.	398958	22	13	469
2024-05-16	D12 Ember Corp.	399032	22	12	501
2024-05-16	D12 Ember Corp.	398967	33	10	438
2024-05-16	D12 Ember Corp.	399016	12	14	461
2024-05-17	D7 Timberline Collective	399223	26	12	481
2024-05-17	D12 Ember Corp.	399238	23	10	438
2024-05-17	D11 Harvest Defense Co.	399116	22	13	474
2024-05-17	D4 Tidefront Supplies	399232	8	8	322
2024-05-17	D4 Tidefront Supplies	399122	23	12	519
2024-05-17	D7 Timberline Collective	399175	25	9	466
2024-05-17	D11 Harvest Defense Co.	399169	25	10	488
2024-05-17	D7 Timberline Collective	399239	30	10	510
2024-05-17	D12 Ember Corp.	399226	23	8	440
2024-05-17	D11 Harvest Defense Co.	399208	21	8	390
2024-05-17	D4 Tidefront Supplies	399120	9	8	283
2024-05-20	D11 Harvest Defense Co.	399565	23	14	564
2024-05-20	D11 Harvest Defense Co.	399670	19	7	365
2024-05-20	D3 SignalWorks	399556	30	15	606
2024-05-20	D11 Harvest Defense Co.	399571	21	10	487
2024-05-20	D11 Harvest Defense Co.	399545	13	7	324
2024-05-20	D3 SignalWorks	399650	27	10	459
2024-05-20	D3 SignalWorks	399651	17	10	433
2024-05-20	D3 SignalWorks	399649	22	10	436
2024-05-20	D12 Ember Corp.	399578	11	10	360
2024-05-20	D4 Tidefront Supplies	399662	35	7	499
2024-05-20	D12 Ember Corp.	399667	20	13	491
2024-05-20	D3 SignalWorks	399540	19	8	384
2024-05-20	D12 Ember Corp.	399660	14	14	465
2024-05-21	D12 Ember Corp.	399773	24	8	403
2024-05-21	D12 Ember Corp.	399838	20	16	565
2024-05-21	D4 Tidefront Supplies	399712	24	7	403
2024-05-21	D4 Tidefront Supplies	399718	8	9	345
2024-05-21	D12 Ember Corp.	399792	17	8	380
2024-05-21	D12 Ember Corp.	399818	30	10	520
2024-05-21	D7 Timberline Collective	399830	32	11	540
2024-05-21	D12 Ember Corp.	399797	23	10	422
2024-05-21	D12 Ember Corp.	399720	18	10	445
2024-05-21	D3 SignalWorks	399755	16	11	451
2024-05-21	D7 Timberline Collective	399758	21	4	327
